name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Oyen Seniors Lodge ,,,Gloria Jorgenson,gloria.jorgenson@acadiafoundation.com,,,,,,,,,,,,,,(403)664-3661,,Not Specified,www.acadiafoundation.com/oyen-lodge,,,,,,,,,,,,,,,,1307,Not Specified,310 - 2 St,,,Oyen,,,AB,,T0C 1B0,Canada,51.3529443,-110.4782383,,TRUE
Harmony Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,985,4730 - 50 Avenue,,,Taber,,,AB,,T1G 1P3,Canada,49.785883,-112.154995,,TRUE
Sunshine Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,550,437 - 2 Street S,,,Grassy Lake,,,AB,,T0K 0Z0,Canada,49.8246216,-111.7004857,,TRUE
Prairie Rose Manor ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJW@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,754,624 - 3 Avenue N,,,Vauxhall,,,AB,,T0K 2K0,Canada,50.069464,-112.1091946,,TRUE
Pioneer Place ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,754,4705 - 49 Avenue,,,Taber,,,AB,,T1G 1N7,Canada,49.7841806,-112.1556005,,TRUE
Homestead Manor ,,,"Kristin Skiba, Placement Officer OR  Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,985,4900 - 48 Street,,,Taber,,,AB,,T1G 1N7,Canada,49.785824,-112.1549056,,TRUE
Clearview Lodge ,,,"Joan Hart, Lodge Manager OR Tim Janzen, CAO",JoanH@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2822 Ext 1 OR 403-223-2767 Ext 7,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Board Package plus 30% of income for rent,"Board Package plus $1,000.00 (Maximum rent portion)",4730 - 50 Avenue,,,Taber,,,AB,,T1G 1N6,Canada,49.785883,-112.154995,,TRUE
Bountiful House ,,,"Kristin Skiba, Placement Officer OR Tim Janzen, CAO",KristinS@taberhsg.ca OR TimJ@taberhsg.ca,,,,,,,,,,,,,,403-223-2767,,Not Specified,www.taberhsg.ca,,,,,,,,,,,,,,,,Not Specified,550,508 - 1 Street E,,,Barnwell,,,AB,,T0K 0B0,Canada,49.7592534,-112.2605763,,TRUE
Anniversary Arms ,,,Ronda Lamey,rimoka2@telusplanet.net,,,,,,,,,,,,,,403.783.3940,,Not Specified,www.thebethanygroup.ca,,,,,,,,,,,,,,,,Not Specified,Not Specified,5008 - 54 Ave,,,Ponoka,,,AB,,T4J 1N2,Canada,52.679936,-113.575088,,TRUE
Beaver House ,,,Bonnie Koltusky,bonnie.koltusky@bethanygrp.ca,,,,,,,,,,,,,,780.679.2003,,Not Specified,www.thebethanygroup.ca,,,,,,,,,,,,,,,,Not Specified,Not Specified,Glenmuir & Lindgren St,,,Ferintosh,,,AB,,T0B 1M0,Canada,52.7619619,-112.9691109,,FALSE
Bethany Meadows - Pine and Spruce Cottage ,,,Not Specified,Not Specified,,,,,,,,,,,,,,Not Specified,,Not Specified,Not Specified,,,,,,,,,,,,,,,,1460,1460,4209 - 55 St,,,Camrose,,,AB,,T4V 4Y6,Canada,53.007501,-112.833704,,TRUE
Prairie Home ,,,Gloria Jorgenson,gloria.jorgenson@acadiafoundation.com,,,,,,,,,,,,,,403-664-3661,,Not Specified,www.acadiafoundation.com,,,,,,,,,,,,,,,,Not Specified,Not Specified,310 - 2 St.W,,,Oyen,,,AB,,T0J 2J0,Canada,51.3543705,-110.4896981,,TRUE
