name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Abbeyfield House Dominion City,,,Dave Kirkpatrick,info@abbeyfielddominioncity.ca,,(204) 427-2224,,,,,,,,,,,,(204) 427-2557,,,www.abbeyfielddominioncity.ca,,,,,,,,,,,,,,Long-term Care,,,,152 Franklin Ave,Box 69 ,,Dominion City,,,MB,,R0A 0H0,Canada,ERROR,ERROR,ERROR,True
Betel Home - Selkirk,,,Angela Eyjolfson,aeyjolfson@ierha.ca,,(204)-642-7243,,,,,,,,,,,,(204) 482-5469,,,www.betelhome; foundation.ca/selkirk.html,,,,,,,,,,,,,,Long-term Care,,,,212 Manchester Ave,,,Selkirk,,,MB,,R1A 0B6,Canada,50.1299961,-96.8890904,,True
Beacon Hill Lodge,,,,beaconhilllodge@reveraliving.com,,(204) 944-0136,,,,,,,,,,,,(204) 942-7541,,,www.reveraliving.com/long-term-care/locations/beacon-hill-lodge,,,,,,,,,,,,,,Long-term Care,,,,190 Fort St,,,Winnipeg,,,MB,,R3C 1C9,Canada,49.891197,-97.138128,Downtown,True
Rosewood,,,,rosewood@reveraliving.com,,(204) 488-3876,,,,,,,,,,,,(204) 487-9600,,,www.reveraliving.com/Rosewood,,,,,,,,,,,,,,Long-term Care,,,,857 Wilkes Ave,,,Winnipeg,,,MB,,R3P 2M2,Canada,49.8482311,-97.1806203,Brockville,True
Betel Home - Gimli,,,,aeyjolfson@ierha.ca,,(204 642-7243,,,,,,,,,,,,(204) 642-5556,,,www.betelhomefoundation.ca,,,,,,,,,,,,,,Long-term Care,,,,96-1st Ave,Box 10 ,,Gimli,,,MB,,R0C 1B0,Canada,ERROR,ERROR,ERROR,True
Riverside Lions Seniors Residences,,,,bshields@riversidelions.mb.ca,,(204) 255-1527,,,,,,,,,,,,(204) 255-8940,,,www.riversidelions.mb.ca,,,,,,,,,,,,,,Long-term Care,,,,180 Worthington Ave,,,Winnipeg,,,MB,,R2M 1S4,Canada,49.8423388,-97.0971867,Worthington,True
RÌ©sidence Despins,,,,afoidart@despinscharities.ca,,(204) 235-6419,,,,,,,,,,,,(204) 480-2900,,,www.resdespins.ca,,,,,,,,,,,,,,Long-term Care,,,,151 Despins St,,,Winnipeg,,,MB,,R2H 0L7,Canada,49.8872774,-97.1224956,Central St. Boniface,True
Windsor Park Place,,,,tparisien@actionmarguerite.ca,,(204) 233-6803,,,,,,,,,,,,(204) 233-3692(ext. 554),,,www.actionmarguerite.ca,,,,,,,,,,,,,,Long-term Care,,,,875 Elizabeth Rd,,,Windsor Park,,,,,,Canada,49.8712618,-97.0815027,Windsor Park,True
Charleswood Care Centre,,,,charleswood@reveraliving.com,,(204) 896-4763,,,,,,,,,,,,(204) 888-3363,,,www.reveraliving.com/long-term-care/locations/charleswood-care-centre,,,,,,,,,,,,,,Long-term Care,,,,5501 Roblin Blvd,,,Winnipeg,,,MB,,R3R 0G8,Canada,49.860375,-97.293312,Southboine,True
Niverville Credit Union Manor,,,,,,(204) 388-6431,,,,,,,,,,,,(204) 388-5000ext 207,,,,,,,,,,,,,,,,,Long-term Care,,,,111 2nd Ave S,Unit 100,,Niverville,,,MB,,R0A 0A1,Canada,49.6024059,-97.0456902,,True
Lions Supportive Housing,,,,mcoquete@lhc.ca,,(204) 784-1241,,,,,,,,,,,,(204) 784-2730,,,www.lhc.ca,,,,,,,,,,,,,,Long-term Care,,,,320 Sherbrook St,,,Winnipeg,,,MB,,R3B 2W6,Canada,49.8889706,-97.1596464,St. Matthews,True
Sysco,,,Janice GagnonHealthcare and Hospitality Supervisor,Gagnon.janice@wpg.sysco.ca,,,,,,,,,,,,,,(204) 478-4121,,,www.sysco.ca,,,,,,,,,,,,,,Long-term Care,,,,1570 Clarence Ave,,,Winnipeg,,,MB,,R3T 1T6,Canada,49.8268912,-97.1756071,Chevrier,True
Irene Baron Eden Centre,,,,dlemieux@extendicare.com,,(204) 667-9424,,,,,,,,,,,,(204) 667-7747,,,www.ib-ec.ca,,,,,,,,,,,,,,Long-term Care,,,,1385 Molson St,,,Winnipeg,,,MB,,R2K 4K8,Canada,49.9211241,-97.0523856,Eaglemere,True
Harmony Court at Riverwood Square,,,,lsherrin@riverwoodsquare.com,,(204) 261-3484,,,,,,,,,,,,(204) 275-7632,,,www.riverwoodsquare.com,,,,,,,,,,,,,,Long-term Care,,,,1778 Pembina Hwy,,,Winnipeg,,,MB,,R3T 1R2,Canada,49.8254479,-97.1522978,Pembina Strip,True
Greendale Estate,,,,Dave Claringbouldalshous@mymts.net,,(204) 434-9217,,,,,,,,,,,,(204) 434-6928,,,www.greendaleestate.ca,,,,,,,,,,,,,,Long-term Care,,,,231 Park St,,,Grunthal,,,MB,,R0A 0R0,Canada,49.4055563,-96.8611878,,True
The Gardens on Tenth Inc.,,,"Laurie Schellenberg, Managing Director",laurie@gardensontenth.ca,,,,,,,,,,,,,,(204) 324-8945,,,www.gardensontenth.ca,,,,,,,,,,,,,,Long-term Care,,,,140 10th Ave NE,Box 900 ,,Altona,,,MB,,R0G 0B0,Canada,49.1109538,-97.5552592,,True
Fred Douglas Heritage House,,,,admin@fdl.mb.ca,,(204) 947-2687,,,,,,,,,,,,(204) 949-9027,,,www.freddouglassociety.com/supportive-housing/,,,,,,,,,,,,,,Long-term Care,,,,100 the Promenade,,,Winnipeg,,,MB,,R3B 2H9,Canada,49.8923222,-97.1496107,Downtown,False
PointClickCare,,,,success@pointclickcare.com,,(905) 858-2248,,,,,,,,,,,,(905) 858-8885,,,www.pointclickcare.com,,,,,,,,,,,,,,Long-term Care,,,,6975 Creditview Rd,Unit 4,,Mississauga,,,ON,,L5N 8E9,Canada,43.6145488,-79.7431603,,True
Momentum Healthware,,,,support@momentumhealthware.com,,(204) 231-8238,,,,,,,,,,,,1.204.231.3836,,,www.momentumhealthware.com,,,,,,,,,,,,,,Long-term Care,,,,308-131 Provencher Blvd,,,Winnipeg,,,MB,,R2H 0G2,Canada,49.8918276,-97.12481,North St. Boniface,True
3M Canada,,,,alkrishnathasan@mmm.com,,(519)452-6597,,,,,,,,,,,,(800) 265-1840 ext  6084,,,www.3M.ca/skinwound,,,,,,,,,,,,,,Long-term Care,,,,,,,,,,,,,Canada,ERROR,ERROR,ERROR,False
