name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
FOYER LEAH DOUCET,,,LEA DOUCET,,,,,,,,,,,,,,,548-3224,,,,,,,,,,,,,,,,,Care Bed Services,,,,236 CHEMIN CHAMBERLAIN SETTLEMENT,,,CHAMBERLAIN SETTLEMENT,,CHALEUR,NB,,E2A 6H1,Canada,47.56132299999999,-65.63173139999999,,True
MANOIR BRISE DE L'OASIS,,,KEVIN ET LINDA VIENNEAU,,,,,,,,,,,,,,,547-1100,,,,,,,,,,,,,,,,,Care Bed Services,,,,290 RUE UNION,,,BATHURST,,CHALEUR,NB,,E2A 1H4,Canada,47.6126436,-65.647925,,True
RESIDENCE ARSENEAU LTEE,,,ERIC ARSENEAU,,,,,,,,,,,,,,,783-9009,,,,,,,,,,,,,,,,,Care Bed Services,,,,530 PRINCIPALE STREET,,,POINTE-VERTE,,CHALEUR,NB,,E8J 2Z6,Canada,47.8445397,-65.7579088,,True
LE PAVILLON LE ROYER NIVEAU 3B,,,MANON SOUCY,,,,,,,,,,,,,,,263-9023,,,,,,,,,,,,,,,,,Care Bed Services,,,,429 RUE PRINCIPALE,,,ST BASILE,,EDMUNDSTON,NB,,E7C1J2,Canada,47.358209,-68.234989,,True
VILLA DES JARDINS INC,,,BOUCHARD ALLEN,,,,,,,,,,,,,,,735-2374,,,,,,,,,,,,,,,,,Care Bed Services,,,,50 RUE QUEEN,,,EDMUNSTON,,EDMUNDSTON,NB,,E3V 3N4,Canada,47.3624326,-68.3206135,,True
ALLEIRA FREDERICTON,,,KATHY ARSENEAU,,,,,,,,,,,,,,,459-2273,,,,,,,,,,,,,,,,,Care Bed Services,,,,21 HAROLD DOHERTY COURT,,,FREDERICTON,,FREDERICTON,NB,,E3A 5P2,Canada,45.9813066,-66.6149939,,True
FREDERICK HALL - ST. ANNE'S POINT,,,BOWEN PAMELA,,,,,,,,,,,,,,,455-7004,,,,,,,,,,,,,,,,,Care Bed Services,,,,379 RAINSFORD LANE,,,FREDERICTON,,FREDERICTON,NB,,E3B7T1,Canada,45.95205179999999,-66.69732320000001,,True
FREDERICK HALL -BARKERS POINT,,,BOWEN PAMELA,,,,,,,,,,,,,,,455-7004,,,,,,,,,,,,,,,,,Care Bed Services,,,,379 RAINSFORD LANE,,,FREDERICTON,,FREDERICTON,NB,,E3B7T1,Canada,45.95205179999999,-66.69732320000001,,True
GAGETOWN SPECIAL CARE HOME (2007) LTD,,,MARTY HOOD,,,,,,,,,,,,,,,488-2620,,,,,,,,,,,,,,,,,Care Bed Services,,,,142 TILLEY ROAD,,,GAGETOWN,,FREDERICTON,NB,,E5M1H6,Canada,45.7989371,-66.1502253,,True
MOUNTAINSIDE LODGE INC.,,,JACKIE MARTIN,,,,,,,,,,,,,,,457-0183,,,,,,,,,,,,,,,,,Care Bed Services,,,,50 FRIESAN DRIVE,,,ISLANDVIEW,,FREDERICTON,NB,,E3E 1A3,Canada,45.9655437,-66.7917269,,True
NORTH MINTO RESIDENCE LTD,,,PETITPAS MARIE,,,,,,,,,,,,,,,327-9000,,,,,,,,,,,,,,,,,Care Bed Services,,,,781 NORTHSIDE DRIVE,,,MINTO,,FREDERICTON,NB,,E4B 3C7,Canada,46.0959686,-66.08085559999999,,True
OROMOCTO SPECIAL CARE HOME MEMORY CARE HOME 1,,,MARTY HOOD,,,,,,,,,,,,,,,422-8600,,,,,,,,,,,,,,,,,Care Bed Services,,,,225 MITCHELL STREET,,,OROMOCTO,,FREDERICTON,NB,,E2V0H3,Canada,45.84898339999999,-66.4809867,,True
OROMOCTO SPECIAL CARE HOME MEMORY CARE HOME 2,,,MARTY HOOD,,,,,,,,,,,,,,,422-8600,,,,,,,,,,,,,,,,,Care Bed Services,,,,225 MITCHELL STREET,,,OROMOCTO,,FREDERICTON,NB,,E2V0H3,Canada,45.84898339999999,-66.4809867,,True
PARADISE VILLA INC.,,,LOUISE PETITPAS,,,,,,,,,,,,,,,443-8000,,,,,,,,,,,,,,,,,Care Bed Services,,,,665 CLEMENTS DRIVE,,,FREDERICTON,,FREDERICTON,NB,,E3G 7J2,Canada,45.9777897,-66.71692039999999,,True
YOUR AT HOME RETREAT LTD,,,RHONDA REID,,,,,,,,,,,,,,,357-6835,,,,,,,,,,,,,,,,,Care Bed Services,,,,21 CHRISTOPHER DRIVE,,,BURTON,,FREDERICTON,NB,,E2V 3H4,Canada,45.87190440000001,-66.37539819999999,,True
636641 NB INC (MCNAIR MANOR- 44 BEECHWOOD),,,AMY KLASSEN,,,,,,,,,,,,,,,857-4883,,,,,,,,,,,,,,,,,Care Bed Services,,,,44 BEECHWOOD AVENUE,,,MONCTON,,MONCTON,NB,,E1A 3L5,Canada,46.11586639999999,-64.781272,,True
AMKA DEVELOPMENT INC.  (MCNAIR MANOR -RIVERVIEW),,,AMY KLASSEN,,,,,,,,,,,,,,,387-4666,,,,,,,,,,,,,,,,,Care Bed Services,,,,137 WHITEPINE ROAD,,,RIVERVIEW,,MONCTON,NB,,E1B 4Y5,Canada,46.0483339,-64.8204226,,True
FOYER BOIS-JOLI LSS,,,LUCILLE JOHNSON,,,,,,,,,,,,,,,876-4335,,,,,,,,,,,,,,,,,Care Bed Services,,,,130 RUE ST-IGNACE,,,ST-LOUIS,,MONCTON,NB,,E4X 2L9,Canada,46.7313451,-64.9769432,,True
GRASS HOME LTD.,,,JOHN OR LYNN GRASS,,,,,,,,,,,,,,,386-1740,,,,,,,,,,,,,,,,,Care Bed Services,,,,774 COVERDALE ROAD,,,RIVERVIEW,,MONCTON,NB,,E1B 3L5,Canada,46.0592435,-64.8222793,,True
HILLSIDE VIEW SPECIAL CARE HOME INC.,,,VICKI  WARD,,,,,,,,,,,,,,,388-3018,,,,,,,,,,,,,,,,,Care Bed Services,,,,560 FRONT MOUNTAIN ROAD,,,MONCTON,,MONCTON,NB,,E1G 2H4,Canada,46.14673,-64.879813,,True
PROTEM HEALTH SERVICES 77 GORGE ROAD,,,AMANDA JENKINS,,,,,,,,,,,,,,,852-9652,,,,,,,,,,,,,,,,,Care Bed Services,,,,77 GORGE ROAD,,,MONCTON,,MONCTON,NB,,E1G 1E5,Canada,46.12520209999999,-64.8557161,,True
PROTEM HEALTH SERVICES INC. - 2069 MOUNTAIN ROAD,,,AMANDA JENKINS,,,,,,,,,,,,,,,852-9652,,,,,,,,,,,,,,,,,Care Bed Services,,,,2069 MOUNTAIN ROAD,,,MONCTON,,MONCTON,NB,,E1G 1B1,Canada,46.1245075,-64.8582878,,True
PROTEM HEALTH SERVICES INC. - 2166 MOUNTAIN ROAD,,,AMANDA JENKINS,,,,,,,,,,,,,,,852-9652,,,,,,,,,,,,,,,,,Care Bed Services,,,,2166 MOUNTAIN ROAD,,,MONCTON,,MONCTON,NB,,E1G 1B3,Canada,46.1254006,-64.8626168,,True
PROTEM HEALTH SERVICES INC. - 61 GORGE ROAD,,,AMANDA JENKINS,,,,,,,,,,,,,,,852-9652,,,,,,,,,,,,,,,,,Care Bed Services,,,,61 GORGE ROAD,,,MONCTON,,MONCTON,NB,,E1G 1E5,Canada,46.12481489999999,-64.85513499999999,,True
PROTEM HEALTH SERVICES INC. - 71 GORGE ROAD,,,AMANDA JENKINS,,,,,,,,,,,,,,,852-9652,,,,,,,,,,,,,,,,,Care Bed Services,,,,71 GORGE ROAD,,,MONCTON,,MONCTON,NB,,E1G 1E5,Canada,46.125086,-64.8553759,,True
RESIDENCE BEAUX SOUVENIRS LTEE,,,OMER GAUDET,,,,,,,,,,,,,,,204-8200,,,,,,,,,,,,,,,,,Care Bed Services,,,,393 STREET AMIRAULT,,,DIEPPE,,MONCTON,NB,,E1A 1G1,Canada,46.0824746,-64.7323172,,True
