name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Drew Nursing Home,,,Linda Shannon,,,(506) 364-4921,,,,,,,,,,,,(506) 364-4900,,,http://www.drewnursinghome.ca/,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Forest Dale Home,,,Vicki Caissie,,,(506) 882-3014,,,,,,,,,,,,(506) 882-3015,,,http://www.forestdalehome.ca,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Foyer St-Antoine,,,George Cormier,,,(506) 525-4090,,,,,,,,,,,,(506) 525-4040,,,http://www3.nbnet.nb.ca/fsa,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Jordan Lifecare Centre,,,Gary Buchanan,,,(506) 756-2081,,,,,,,,,,,,(506) 756-3355,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Kenneth E. Spencer,,,Victor Shea,,,(506) 858-9674,,,,,,,,,,,,(506) 858-7870,,,http://www.abschi.com/,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
La Villa Maria,,,Jean-Paul Mazerolle,,,(506) 876-3466,,,,,,,,,,,,(506) 876-3488,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Le Foyer St-Thomas (Memramcook),,,Paul Rossignol,,,(506) 758-9489,,,,,,,,,,,,(506) 758-2110,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Manoir St-Jean Baptiste,,,Ian Drapeau,,,(506) 743-7343,,,,,,,,,,,,(506) 743-7344,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Monarch Hall,,,Carole Morey,,,(506) 387-3167,,,,,,,,,,,,(506) 387-3168,,,http://www.shannex.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
Rexton Lions Nursing Home,,,Nancy Cail,,,(506) 523-7703,,,,,,,,,,,,(506) 523-7720,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,46.0878165,-64.7782313,,False
