name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Drew Nursing Home,,,Linda Shannon,,,(506) 364-4921,,,,,,,,,,,,(506) 364-4900,,,http://www.drewnursinghome.ca/,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Forest Dale Home,,,Vicki Caissie,,,(506) 882-3014,,,,,,,,,,,,(506) 882-3015,,,http://www.forestdalehome.ca,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Foyer St-Antoine,,,George Cormier,,,(506) 525-4090,,,,,,,,,,,,(506) 525-4040,,,http://www3.nbnet.nb.ca/fsa,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Jordan Lifecare Centre,,,Gary Buchanan,,,(506) 756-2081,,,,,,,,,,,,(506) 756-3355,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Kenneth E. Spencer,,,Victor Shea,,,(506) 858-9674,,,,,,,,,,,,(506) 858-7870,,,http://www.abschi.com/,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
La Villa Maria,,,Jean-Paul Mazerolle,,,(506) 876-3466,,,,,,,,,,,,(506) 876-3488,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Le Foyer St-Thomas (Memramcook),,,Paul Rossignol,,,(506) 758-9489,,,,,,,,,,,,(506) 758-2110,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Manoir St-Jean Baptiste,,,Ian Drapeau,,,(506) 743-7343,,,,,,,,,,,,(506) 743-7344,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Monarch Hall,,,Carole Morey,,,(506) 387-3167,,,,,,,,,,,,(506) 387-3168,,,http://www.shannex.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Rexton Lions Nursing Home,,,Nancy Cail,,,(506) 523-7703,,,,,,,,,,,,(506) 523-7720,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
The Salvation Army Lakeview Manor,,,Kym Elder,,,(506) 387-7200,,,,,,,,,,,,(506) 387-2012,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Villa du Repos,,,Ronald LeBlanc,,,(506) 859-1619,,,,,,,,,,,,(506) 857-3560,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Villa Providence Shediac,,,Ronald LeBlanc,,,(506) 532-5909,,,,,,,,,,,,(506) 532-4484,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Westford Nursing Home,,,Judy White,,,(506) 538-7293,,,,,,,,,,,,(506) 538-1302,,,http://www.westfordnursinghome.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Campobello Lodge,,,Sherry Johnston,,,(506) 752-7105,,,,,,,,,,,,(506) 752-7101,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Carleton Kirk Lodge,,,Tim Stevens,,,(506) 643-7038,,,,,,,,,,,,(506) 643-7040,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Church of St. John & St. Stephen,,,Shelley Fulton,,,(506) 643-6126,,,,,,,,,,,,(506) 643-6001,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Dr. V.A. Snow Centre,,,Terry O'Neill,,,(506) 832-7674,,,,,,,,,,,,(506) 832-6210,,,http://www.snownursing.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Embassy Hall,,,John Campbell,,,(506) 848-3171,,,,,,,,,,,,(506) 848-3170,,,http://www.shannex.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Fundy Nursing Home,,,Debbie Harris,,,(506) 456-3057,,,,,,,,,,,,(506) 456-4218,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Grand Manan Nursing Home,,,Joanne Ingalls,,,(506) 662-7117,,,,,,,,,,,,(506) 662-7111,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Kennebec Manor,,,Judy Lane,,,(506) 658-9376,,,,,,,,,,,,(506) 632-9628,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Kings Way Care Center,,,Judy Lane,,,(506) 847-1134,,,,,,,,,,,,(506) 847-1131,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Kiwanis Nursing Home,,,Kerri Marr,,,(506) 432-3104,,,,,,,,,,,,(506) 432-3118,,,http://www.kiwanisnursinghome.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Lincourt Manor,,,Stacy Butler,,,(506) 466-7853,,,,,,,,,,,,(506) 466-7855,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Loch Lomond Villa,,,Cindy Donovan,,,(506) 643-7179,,,,,,,,,,,,(506) 643-7175,,,http://www.lochlomondvilla.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Passamaquoddy Lodge,,,Lezlie LeBlanc,,,(506) 529-5258,,,,,,,,,,,,(506) 529-5240,,,http://www.passamaquoddylodge.ca,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Rocmaura,,,Sheana Mohra,,,(506) 643-7053,,,,,,,,,,,,(506) 643-7050,,,http://www.rocmaura.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Turnbull Nursing Home,,,Patti Alcorn,,,(506) 648-9786,,,,,,,,,,,,(506) 643-7200,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Carleton Manor,,,Angela Acott-Smith,,,(506) 325-4618,,,,,,,,,,,,(506) 325-4373,,,http://www.carletonmanor.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Central Carleton Nursing Home,,,Kristi Schriver,,,(506) 375-3035,,,,,,,,,,,,(506) 375-3033,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Central N.B. Nursing Home,,,Manley Black,,,(506) 369-2331,,,,,,,,,,,,(506) 369-7262,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Mill Cove Nursing Home,,,Dan Gilman,,,(506) 488-3037,,,,,,,,,,,,(506) 488-3033,,,http://www.millcovenh.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Nashwaak Villa,,,Daphne Noonan,,,(506) 367-7745,,,,,,,,,,,,(506) 367-7734,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Orchard View,,,Steve Little,,,(506) 488-3551,,,,,,,,,,,,(506) 488-3544,,,http://www.orchardviewcare.ca,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Pine Grove,,,Cheryl Wiggins,,,(506) 444-3407,,,,,,,,,,,,(506) 444-3400,,,http://www.pinegrovenh.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
River View Manor,,,Guildo Cyr,,,(506) 278-5962,,,,,,,,,,,,(506) 278-6030,,,http://www.riverviewmanor.ca,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Thomas Hall,,,Pam Bowen,,,(506) 447-6441,,,,,,,,,,,,(506) 447-6440,,,http://www.shannex.com,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
Tobique Valley Manor,,,Charlotte Bellefleur,,,(506) 356-6041,,,,,,,,,,,,(506) 356-6040,,,,,,,,,,,,,,,,,Nursing Home,,,,,,,moncton,,,NB,,,,,,,FALSE
