name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
CENTRE DE SERVICES-RESEAU SERVICES CHALEUR,,,LISE BOULANGER,,,,,,,,,,,,,,,(506) 542-9406,,,,,,,,,,,,,,,,,Special Care Home,,,,68 RUE BOUDREAU,,,BERESFORD,,CHALEUR,NB,,E8K 2G2,Canada,47.7044714,-65.7062406,,TRUE
FOYER ALVINA ALLAIN,,,ALVINA ALLAIN,,,,,,,,,,,,,,,(506) 548-3229,,,,,,,,,,,,,,,,,Special Care Home,,,,2 CHAMBERLAIN SETTLEMENT ROAD,,,CHAMBERLAIN SETTLEMENT,,CHALEUR,NB,,E2A 6G4,Canada,47.5761225,-65.6415702,,TRUE
FOYER CHEZ ANNIE  DE ROBERTVILLE,,,ANNIE FRENETTE ET STEVEN SISK,,,,,,,,,,,,,,,(506) 430-5600,,,,,,,,,,,,,,,,,Special Care Home,,,,741 ROUTE 322,,,ROBERTVILLE,,CHALEUR,NB,,E8K 2T6,Canada,47.7110253,-65.7060032,,FALSE
FOYER CHEZ ANNIE FRENETTE,,,ANNIE FRENETTE ET STEVEN SISK,,,,,,,,,,,,,,,(506) 350-5600,,,,,,,,,,,,,,,,,Special Care Home,,,,60 MURRAY AVENUE,,,BATHURST,,CHALEUR,NB,,E2A 1T7,Canada,47.615466,-65.64836,,TRUE
FOYER CHEZ JENNY INC.,,,ARSENEAU JENNY,,,,,,,,,,,,,,,(506) 430-4300,,,,,,,,,,,,,,,,,Special Care Home,,,,14 CHAMPLAIN STREET,,,PETIT-ROCHER,,CHALEUR,NB,,E8J 1R7,Canada,47.7844582,-65.7205827,,TRUE
FOYER CHEZ LINE MORRISON,,,LINE MORRISON,,,,,,,,,,,,,,,(506) 542-7161,,,,,,,,,,,,,,,,,Special Care Home,,,,40 STREET DOUCET,,,BERESFORD,,CHALEUR,NB,,E8K 0A9,Canada,47.7031105,-65.7005281,,TRUE
FOYER CHEZ MONICK,,,MONIQUE BOUCHARD,,,,,,,,,,,,,,,(506) 783-3050,,,,,,,,,,,,,,,,,Special Care Home,,,,39 STREET PRINCIPALE,,,PETIT-ROCHER,,CHALEUR,NB,,E8J 1L9,Canada,47.7860126,-65.7197472,,TRUE
FOYER DENISE AUBIE,,,DENISE AUBIE,,,,,,,,,,,,,,,(506) 548-4705,,,,,,,,,,,,,,,,,Special Care Home,,,,85 RUE COUTURE,,,BATHURST,,CHALEUR,NB,,E2A 2E8,Canada,47.6091131,-65.6265201,,TRUE
FOYER LA BERCEUSE,,,MONIQUE GUIGNARD,,,,,,,,,,,,,,,(506) 783-4614,,,,,,,,,,,,,,,,,Special Care Home,,,,0 CHEMIN LAPLANTE,,,LAPLANTE,,CHALEUR,NB,,E8J 1Z4,Canada,47.7691577,-65.7742704,,TRUE
FOYER LISE & JACQUES ROY,,,LISE ROY,,,,,,,,,,,,,,,(506) 783-2878,,,,,,,,,,,,,,,,,Special Care Home,,,,34 RUE PRINCIPALE,,,POINTE-VERTE,,CHALEUR,NB,,E8J 3A1,Canada,47.8720869,-65.7930756,,TRUE
FOYER LUCIE SAVOIE,,,LUCIE SAVOIE,,,,,,,,,,,,,,,(506) 725-5583,,,,,,,,,,,,,,,,,Special Care Home,,,,003 ROUTE 134,,,ALLARDVILLE,,CHALEUR,NB,,E8L 1S3,Canada,47.474508,-65.492277,,FALSE
FOYER MARIE-MAY PITRE,,,MARIE-MAY PITRE,,,,,,,,,,,,,,,(506) 548-5343,,,,,,,,,,,,,,,,,Special Care Home,,,,22 STREET MAPLE ST,APT 1,,BATHURST,,CHALEUR,NB,,E2A 1J2,Canada,47.6410251,-65.7324314,,TRUE
FOYER NOTRE-DAME DU SOURIRE (2015) INC.,,,REJEANNE DUGUAY-DAVID,,,,,,,,,,,,,,,(506) 725-5493,,,,,,,,,,,,,,,,,Special Care Home,,,,65 ROUTE 160,,,ALLARVILLE,,CHALEUR,NB,,E8L 1J9,Canada,ERROR,ERROR,ERROR,FALSE
FOYER ROBICHAUD LA MAISON BLANCHE (2016) LTEE,,,MELISSA OR DINO SIMONE,,,,,,,,,,,,,,,(506) 548-3773,,,,,,,,,,,,,,,,,Special Care Home,,,,75 ARCHIBALD STREET,,,BATHURST,,CHALEUR,NB,,E2A 4E1,Canada,47.633949,-65.6740999,,TRUE
