name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
,,,Mr. Tony  Guidoccio,coppercliff@thewalford.com,,+1 705-682-9996,,,,,,,,,,,,+1 705-682-9990,,,http://www.thewalford.com,,,,,,,,,,,,,,Assisted Living,,,,99 Walford Rd,,,Sudbury,,,ON,,P3E 6K3,Canada,46.462826,-80.995965,,True
,,,N/A,dean_jennifer@hotmail.com,,+1 416-534-5274,,,,,,,,,,,,416-534-5274,,,,,,,,,,,,,,,,,Assisted Living,,,,65 Trueman Ave,,,Etobicoke,,,ON,,M8Z 5A3,Canada,43.6256825,-79.52442049999999,,True
,,,Ms. Shana Bond,victoriaplace@reveraliving.com,,+1 519-744-7097,,,,,,,,,,,,+1 519-576-1300,,,http://reveraliving.com/victoria,,,,,,,,,,,,,,Assisted Living,,,,55 Standish Ct,8th Floor,,Mississauga,,,ON,,L5R 4B2,Canada,43.6254046,-79.6847975,,True
,,,Mr. Kevin Roach,ed@suppleslanding.com,,+1 613-732-0061,,,,,,,,,,,,+1 613-732-0077,,,http://www.suppleslanding.com,,,,,,,,,,,,,,Assisted Living,,,,201 Joseph St,,,Pembroke,,,ON,,K8A 8J2,Canada,45.8294959,-77.1091661,,True
,,,N/A,,,+1 519-884-9071,,,,,,,,,,,,+1 519-783-3710,,,http://www.luthervillage.org,,,,,,,,,,,,,,Assisted Living,,,,285 Benjamin Rd,,,Waterloo,,,ON,,N2J 3Z4,Canada,43.5004703,-80.5664295,,True
,,,Mrs. Jennifer Sousa,jennifer@lyndecreekmanor.com,,+1 905-665-7018,,,,,,,,,,,,+1 905-665-9227,,,http://www.lyndecreekmanor.com,,,,,,,,,,,,,,Assisted Living,,,,50 Paul Burns Way,,,Whitby,,,ON,,L1R 2Y9,Canada,43.91091050000001,-78.96233649999999,,True
,,,N/A,,,+1 705-775-2400,,,,,,,,,,,,+1 705-876-1414,,,http://www.gardensofpeterborough.ca,,,,,,,,,,,,,,Assisted Living,,,,307 Aylmer St N,,,Peterborough,,,ON,,K9J 7M4,Canada,44.30261,-78.32383899999999,,True
,,, Cheryl Clausen,info@chartwell.com,,+1 705-566-6221,,,,,,,,,,,,+1 705-566-6221,,,http://www.chartwell.com,,,,,,,,,,,,,,Assisted Living,,,,100 Milverton Dr,Unit 700,,Mississauga,,,ON,,L5R 4H1,Canada,43.6180525,-79.67386479999999,,True
,,,N/A,,,+1 705-328-3283,,,,,,,,,,,,+1 705-324-1913,,,http://www.caressantcare.com,,,,,,,,,,,,,,Assisted Living,,,,264 Norwich Ave,,,Woodstock,,,ON,,N4S 3V9,Canada,43.1233357,-80.7408341,,True
,,,Mr. Paul Brown,joanna.gurd@schlegelvillages.com,,+1 905-336-7143,,,,,,,,,,,,+1 905-336-9904,,,http://www.schlegelvillages.com,,,,,,,,,,,,,,Assisted Living,,,,325 Max Becker Dr,Unit 201,,Kitchener,,,ON,,N2E 4H5,Canada,43.4047993,-80.5007759,Laurentian West,True
,,,Ms. Joy  Birch,info@inspiritres.com,,+1 519-657-0781,,,,,,,,,,,,+1 519-675-0500,,,http://www.inspiritres.com,,,,,,,,,,,,,,Assisted Living,,,,81 Baseline Rd W,Unit 101,,London,,,ON,,N6J 4Y5,Canada,42.95799999999999,-81.2664,Southcrest,True
,,,Mrs. Maria Elias,information@belmonthouse.com,,+1 416-964-1448,,,,,,,,,,,,+1 416-964-9231,,,http://www.belmonthouse.com,,,,,,,,,,,,,,Assisted Living,,,,55 Belmont St,,,Toronto,,,ON,,M5R 1R1,Canada,43.67460489999999,-79.3910664,,True
,,,N/A,,,+1 613-443-1283,,,,,,,,,,,,+1 613-443-1690,,,http://www.lepavillon.ca,,,,,,,,,,,,,,Assisted Living,,,,992 Pine Valley Cir,,,Mississauga,,,ON,,L5W 1Z1,Canada,43.6329239,-79.7319022,Meadowvale Village,True
,,,N/A,,,+1 519-273-1458,,,,,,,,,,,,+1 519-273-4662,,,http://www.greenwoodcourt.com,,,,,,,,,,,,,,Assisted Living,,,,200 Boullee St,,,New Hamburg,,,ON,,N3A 2K4,Canada,43.3803989,-80.7012912,,True
