name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Anniston Estates,,,Humera Savaja,,,,,,,,,,,,,,,(256) 342-5099,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2222 Leighton Ave,,,Anniston,Calhoun,,AL,,36207,,33.6736934,-85.8255124,,True
Assisted Living of Arab,,,Teresa Russell,,,,,,,,,,,,,,,(256) 753-6324,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,8895 Alabama Highway 69,,,Arab,Marshall,,AL,,35016,,34.3562001,-86.4333624,,True
Assisted Living of Citronelle,,,Toni Howard,,,,,,,,,,,,,,,(251) 866-0919,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,8525 State St,,,Citronelle,Mobile,,AL,,36522,,31.090424,-88.24512299999999,,True
Atria Regency,,,Susan Stanfield,,,,,,,,,,,,,,,(251) 380-0053,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,4720 Morrison Dr,,,Mobile,Mobile,,AL,,36609,,30.6668243,-88.1716061,Berkleigh,True
Autumn Cove,,,Naomi Skinner,,,,,,,,,,,,,,,(256) 831-7474,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,4425 Greenbrier Dear Rd,,,Anniston,Calhoun,,AL,,36207,,33.6292127,-85.7624577,,True
Autumn Place,,,Tammie Silas,,,,,,,,,,,,,,,(334) 285-1996,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,5930 Main St,,,Millbrook,Elmore,,AL,,36054,,32.5150908,-86.374477,,True
Ava Hills Assisted Living,,,"Samuel Harden, Sr., MD",,,,,P.O. Box 810,,,,,,,,,,(256) 357-2895,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1330 Old Highway 431,,,Wedowee,Randolph,,AL,,36278,,33.331502,-85.476162,,True
Azalea Court Assisted Living,,,Kimberly Falkner,,,,,,,,,,,,,,,(334) 585-2241,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,508 East Church St,,,Headland,Henry,,AL,,36345,,31.3506671,-85.3335084,,True
Azalea Manor of Haleyville,,,Parker Church,,,,,,,,,,,,,,,(205) 485-9343,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,13074 Pounders & Sims Rd,,,Haleyville,Winston,,AL,,35565,,34.2341288,-87.5986106,,True
Azalea Place Assisted Living Facility,,,Jeff Kirby,,,,,,,,,,,,,,,(334) 501-0904,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1601 Professional Pkwy,,,Auburn,Lee,,AL,,36830,,32.63305100000001,-85.448494,,True
Baldwin House,,,Jayne Carter,,,,,,,,,,,,,,,(251) 621-1717,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,10171 Papa George St,,,Daphne,Baldwin,,AL,,36526,,30.6603678,-87.848621,,True
"Belmont II, The",,,Anita Black,,,,,,,,,,,,,,,(334) 224-0692,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,7295 Copperfield Dr,,,Montgomery,Montgomery,,AL,,36117,,32.376852,-86.16629999999999,,True
"Belmont, The",,,Anita Black,,,,,,,,,,,,,,,(334) 224-0692,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,7295 Copperfield Dr,,,Montgomery,Montgomery,,AL,,36117,,32.376852,-86.16629999999999,,True
"Blake at Malbis, The",,,John Michael,,,,,,,,,,,,,,,(251) 625-6400,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,11626 US Highway 90,,,Daphne,Baldwin,,AL,,36526,,30.6456123,-87.82464689999999,,True
"Branchwater Village, LLC",,,Bernadette Lanier,,,,,,,,,,,,,,,(256) 593-5055,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,763 Medical Center Pkwy,,,Boaz,Marshall,,AL,,35957,,34.21758599999999,-86.160134,,True
"Brennity at Daphne AL, The",,,Erin Thompson,,,,,,,,,,,,,,,(251) 626-9000,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,27440 County Rd,13,,Daphne,Baldwin,,AL,,36526,,30.623543,-87.8688,,True
"Brennity at Fairhope, The",,,Bethanie Hurley,,,,,,,,,,,,,,,(251) 928-5555,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,50 Spring Run Dr,,,Fairhope,Baldwin,,AL,,36532,,30.51302729999999,-87.8832573,,True
Brookdale Albertville ALF,,,Patricia Roberts,,,,,,,,,,,,,,,(256) 878-3132,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,151 Woodham Dr,,,Albertville,Marshall,,AL,,35951,,34.288914,-86.23229309999999,,True
Brookdale Cedar Springs,,,Miranda Sansing,,,,,,,,,,,,,,,(256) 552-3800,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2505 Spring Ave SW,,,Decatur,Morgan,,AL,,35601,,34.56419,-87.001544,,True
Brookdale Florence,,,Laura Fithian,,,,,,,,,,,,,,,(256) 275-4072,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,3275 County Rd,47,,Florence,Lauderdale,,AL,,35630,,34.8505592,-87.64222339999999,,True
Brookdale Hanceville,,,Tina Miller Rider,,,,,,,,,,,,,,,(256) 352-3141,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,105 Michelle St NW,,,Hanceville,Cullman,,AL,,35077,,34.0644053,-86.77467639999999,,True
Brookdale Jones Farm,,,Hal Fulmer,,,,,,,,,,,,,,,(256) 881-6111,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2815 Carl T Jones Drive S E,,,Huntsville,Madison,,AL,,35802,,34.67932200000001,-86.55234999999999,,True
Brookdale Northport ALF (AL),,,Bonita Evans,,,,,,,,,,,,,,,(205) 330-1700,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,951 Rose Dr,,,Northport,Tuscaloosa,,AL,,35476,,33.2308501,-87.5681912,,True
Brookdale Shoals ALF (AL),,,Allison Bennefield,,,,,,,,,,,,,,,(256) 386-7177,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2904 South Wilson Dam Rd,,,Muscle Shoals,Colbert,,AL,,35661,,34.73535949999999,-87.63561709999999,,True
Brookdale University Park ALF (AL),,,Alice Murray,,,,,,,,,,,,,,,(205) 870-0786,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,400 University Park Dr,,,Birmingham,Jefferson,,AL,,35209,,33.4568039,-86.799273,,True
Brookside Assisted Living Community,,,Evelyn Renee Buck,,,,,Building #1,,,,,,,,,,(251) 633-9299,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2260 Pesnell Ct,,,Mobile,Mobile,,AL,,36695,,30.6416093,-88.19991329999999,Overton,True
Cedar Hill Assisted Living Facility,,,Trease J. Dawson,,,,,,,,,,,,,,,(334) 875-1225,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1300 Old Orrville Rd,,,Selma,Dallas,,AL,,36701,,32.4061518,-87.05694799999999,,True
Cedar View Assisted Living,,,Tim Morrow,,,,,,,,,,,,,,,(256) 757-2104,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2001 County Rd,394,,Killen,Lauderdale,,AL,,35645,,34.9124267,-87.5286402,,True
Chelsea's Hidden Acres,,,Paula Elizabeth Thomas,,,,,,,,,,,,,,,(205) 678-8906,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,245 Hidden Acres Cir,,,Chelsea,Shelby,,AL,,35043,,33.2797142,-86.6425914,,True
Cherokee Village Assisted Living Facility,,,Cindy Cline,,,,,,,,,,,,,,,(256) 927-4307,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,201 Dean Buttram Senior Ave,,,Centre,Cherokee,,AL,,35960,,34.1674617,-85.6624518,,True
Col. Robert L. Howard State Veterans Home Freedom Court,,,Derrick Williams,,,,,,,,,,,,,,,(205) 227-7985,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,7054 Veterans Pkwy,,,Pell City,St. Clair,,AL,,35125,,33.6050243,-86.3010819,,True
Columbia Cottage - Hartselle,,,Amanda Christopher,,,,,,,,,,,,,,,(256) 751-4809,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,1109 Sparkman St NW,,,Hartselle,Morgan,,AL,,35640,,34.4523956,-86.94124599999999,,True
"Columbia Cottage-Florence, Ltd.",,,Glenda Beavers,,,,,,,,,,,,,,,(256) 760-0442,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2373 Roberts Ln,,,Florence,Lauderdale,,AL,,35630,,34.8354368,-87.68981389999999,North Florence,True
"Columbia Cottage-Mountain Brook, LLC",,,Greg Dykes,,,,,,,,,,,,,,,(205) 968-0000,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,3776 Crosshaven Dr,,,Birmingham,Jefferson,,AL,,35223,,33.468894,-86.7318279,,True
Country Cottage - Montgomery - Ivy,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,235 Sylvest Dr,Building 400,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,,True
Country Cottage - Montgomery - Oakleaf,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,235 Sylvest Dr,Bldg 300,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,,True
"Country Cottage-Decatur, Oakleaf",,,Kelly Looney,,,,,,,,,,,,,,,(256) 301-1800,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2515 Old Moulton Rd SW,,,Decatur,Morgan,,AL,,35603,,34.6013049,-87.01120519999999,,True
Country Cottage-Decatur-Magnolia,,,Kelly Looney,,,,,,,,,,,,,,,(256) 301-1800,,,,,,,,,,,,,,,,Assisted Living Facility,,,,,2515 Old Moulton Rd SW,,,Decatur,Morgan,,AL,,35603,,34.6013049,-87.01120519999999,,True
