name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Angels for the Elderly I,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-8050,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,52 Angels Ct,,,Montgomery,Montgomery,,AL,,36109,,32.38336629999999,-86.24032989999999,,True
Angels for the Elderly II,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-8050,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,44 Angels Ct,,,Montgomery,Montgomery,,AL,,36109,,32.38333250000001,-86.23897600000001,,True
Angels for the Elderly III,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-9122,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,48 Angels Ct,,,Montgomery,Montgomery,,AL,,36109,,32.3833801,-86.2396354,,True
Angels for the Elderly IV,,,Janice Lucas,,,,,,,,,,,,,,,(334) 270-9122,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,40 Angels Ct,,,Montgomery,Montgomery,,AL,,36109,,32.3836178,-86.23926999999999,,True
"Arbors Specialty Care at Somerby of West Mobile, The",,,Jessica Keith,,,,,,,,,,,,,,,(251) 776-1455,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,901 Somerby Dr,,,Mobile,Mobile,,AL,,36695,,30.67001099999999,-88.2015089,Thornhill,True
Ashbury Manor,,,Cindy Johnson,,,,,,,,,,,,,,,(251) 340-7528,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6562 Old Shell Rd,,,Mobile,Mobile,,AL,,36608,,30.6908639,-88.1950737,Hillsdale,True
Atria Regency Specialty Care,,,Susan Stanfield,,,,,,,,,,,,,,,(251) 380-0053,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4720 Morrison Dr,,,Mobile,Mobile,,AL,,36609,,30.6668243,-88.1716061,Berkleigh,True
Autumn Cove Memory Care,,,Naomi Skinner,,,,,,,,,,,,,,,(256) 831-7474,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4425 Greenbrier Dear Rd,,,Anniston,Calhoun,,AL,,36207,,33.6292127,-85.7624577,,True
"Blake Memory Care Community, The",,,TBD,,,,,,,,,,,,,,,(251) 259-5588,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,11626 US Highway 90,,,Daphne,Baldwin,,AL,,36526,,30.6456123,-87.82464689999999,,True
"Brennity at Daphne MC , The",,,Erin Thompson,,,,,,,,,,,,,,,(251) 626-9000,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,27296 County Rd,13,,Daphne,Baldwin,,AL,,36526,,30.6225769,-87.8688052,,True
Brentwood Retirement Community I,,,Margaret Deaton,,,,,,,,,,,,,,,(256) 381-7443,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2505 Alabama Ave,,,Muscle Shoals,Colbert,,AL,,35661,,34.7401324,-87.63801579999999,,True
Brentwood Retirement Community II,,,Margaret Deaton,,,,,,,,,,,,,,,(256) 381-7443,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2505 Alabama Ave,,,Muscle Shoals,Colbert,,AL,,35661,,34.7401324,-87.63801579999999,,True
Brookdale Albertville MC,,,Patricia Roberts,,,,,,,,,,,,,,,(256) 878-3132,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,151 Woodham Dr,,,Albertville,Marshall,,AL,,35951,,34.288914,-86.23229309999999,,True
Brookdale Hampton Cove,,,Julie Gentry,,,,,,,,,,,,,,,(256) 564-8383,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6379 Highway 431 S,,,Hampton Cove,Madison,,AL,,35763,,34.6676114,-86.4869928,,True
Brookdale Northport SCALF (AL),,,Bonita Evans,,,,,,,,,,,,,,,(205) 330-1700,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,951 Rose Dr,,,Northport,Tuscaloosa,,AL,,35476,,33.2308501,-87.5681912,,True
Brookdale Shoals SCALF (AL),,,Allison Bennefield,,,,,,,,,,,,,,,(256) 386-7177,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,2904 South Wilson Dam Rd,,,Muscle Shoals,Colbert,,AL,,35661,,34.73535949999999,-87.63561709999999,,True
Brookdale University Park SCALF (AL),,,Alice Murray,,,,,,,,,,,,,,,(205) 870-0786,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,400 University Park Dr,,,Birmingham,Jefferson,,AL,,35209,,33.4568039,-86.799273,,True
Brookside Memory and Specialty Care on Cody,,,Evelyn Renee Buck,,,,,,,,,,,,,,,(251) 639-0494,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,680 Cody Rd,,,Mobile,Mobile,,AL,,36695,,30.6760029,-88.20813679999999,Sheldon,True
Camellia Place at Auburn Medical Park,,,Ginger Fletcher,,,,,,,,,,,,,,,(334) 502-6008,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1171 Gatewood Dr,Building 206,,Auburn,Lee,,AL,,36830,,32.6270044,-85.4546204,,True
Carrington Place,,,Duane Carr,,,,,,,,,,,,,,,(251) 679-9192,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,300 Baker Rd,,,Satsuma,Mobile,,AL,,36572,,30.8483809,-88.070381,,True
Carrington Specialty Care Assisted Living,,,Duane Carr,,,,,,,,,,,,,,,(251) 665-4202,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,6801 Three Notch Rd,,,Mobile,Mobile,,AL,,36619,,30.58834269999999,-88.200098,Westmont,True
Cedar Hill Specialty Care Assisted Living,,,Trease Dawson,,,,,,,,,,,,,,,(334) 875-1225,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1300 Old Orrville Rd,,,Selma,Dallas,,AL,,36701,,32.4061518,-87.05694799999999,,True
Chapman Specialty Care Assisted Living Facility,,,Archie J. Chapman,,,,,,,,,,,,,,,(256) 234-6366,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3701 Dadeville Rd,,,Alexander City,Tallapoosa,,AL,,35010,,32.911431,-85.919521,,True
Cherokee Village Specialty Care Assisted Living Facility,,,Cindy Cline,,,,,,,,,,,,,,,(256) 927-4307,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,201 Dean Buttram Senior Ave,,,Centre,Cherokee,,AL,,35960,,34.1674617,-85.6624518,,True
Country Cottage - Montgomery - Holly,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,235 Sylvest Dr,Bldg 100,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,,True
Country Cottage Magnolia Cottage,,,Leslie Carter,,,,,,,,,,,,,,,(205) 987-0847,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4000 Greenwood Dr,,,Hoover,Jefferson,,AL,,35216,,33.3898338,-86.78565019999999,,True
Country Cottage Montgomery-Magnolia,,,Michelle Kelley,,,,,,,,,,,,,,,(334) 260-8373,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,235 Sylvest Dr,,,Montgomery,Montgomery,,AL,,36117,,32.38458440000001,-86.194594,,True
Country Place Memory Care of Greenville,,,Angela Patricia Wilson,,,,,,,,,,,,,,,(334) 382-6507,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3108 Luverne Hwy,,,Greenville,Butler,,AL,,36037,,31.8243992,-86.5773521,,True
Covenant Woods of Gardendale,,,Paul Roberts,,,,,,,,,,,,,,,(205) 297-0100,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1411 Thompson Cir,,,Gardendale,Jefferson,,AL,,35071,,33.6597234,-86.8090758,,True
Dugger Mountain Specialty Care Assisted Living,,,Sandra Keener,,,,,,,,,,,,,,,(256) 447-9444,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1100 Daily St,,,Piedmont,Calhoun,,AL,,36272,,33.9096,-85.60679979999999,,True
Elmcroft of Halcyon Specialty Care,,,Patsy McGough,,,,,,,,,,,,,,,(334) 396-1111,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1775 Halcyon Blvd,,,Montgomery,Montgomery,,AL,,36117,,32.3517536,-86.17039489999999,,True
Elmcroft of Heritage Woods Specialty Care Assisted Living Facility,,,Jack Waldroup,,,,,,,,,,,,,,,(251) 665-9063,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3440 Hillcrest Rd,,,Mobile,Mobile,,AL,,36695,,30.6192469,-88.1918733,Milkhouse,True
Fair Haven - Specialty Care,,,Earnestine Thompson,,,,,,,,,,,,,,,(205) 956-4150,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1424 Montclair Rd,,,Birmingham,Jefferson,,AL,,35210,,33.5239133,-86.72833969999999,Crestline,True
Gordon Oaks Memory Care Community,,,Teliena Corder,,,,,,,,,,,,,,,(251) 661-7600,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,3145 Knollwood Dr,,,Mobile,Mobile,,AL,,36693,,30.6250772,-88.173947,Canterbury,True
Grandview Gardens at Redstone Village,,,Robin Huffman,,,,,,,,,,,,,,,(256) 881-6062,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,11000 Turnmeyer Dr,,,Huntsville,Madison,,AL,,35803,,34.6089309,-86.56252309999999,Redstone Village,True
Green Oaks Inn - Creel House,,,"Anita Burney, RN/ALA",,,,,PO Box 2403,,,,,,,,,,(256) 767-2080,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,140 Pepper Ln,,,Florence,Lauderdale,,AL,,35633,,34.90183460000001,-87.696473,,True
Green Oaks Inn - Pepper House,,,Anita Burney,,,,,,,,,,,,,,,(256) 767-2080,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,140 Pepper Ln,,,Florence,Lauderdale,,AL,,35633,,34.90183460000001,-87.696473,,True
Greenbriar on Hanover Specialty Care Assisted Living Facility,,,Cathy Saxon,,,,,,,,,,,,,,,(205) 201-7430,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,39 Hanover Cir,,,Birmingham,Jefferson,,AL,,35205,,33.5054019,-86.7859738,Highland Park,True
Greensprings I,,,Melody Phillips,,,,,,,,,,,,,,,(334) 365-0678,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,811 Greensprings Dr,,,Prattville,Autauga,,AL,,36067,,32.47566,-86.453363,,True
"Harbor at Legacy Village of Jacksonville, The",,,Nicole Smith,,,,,,,,,,,,,,,(256) 782-0960,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,1116 James Hopkins Rd SW,,,Jacksonville,Calhoun,,AL,,36265,,33.79405500000001,-85.7776389,,True
Harbor Chase of Huntsville Specialty Care,,,Katina Eades,,,,,,,,,,,,,,,(256) 650-1155,,,,,,,,,,,,,,,,Assisted Living Facility (Specialty Care),,,,,4801 Whitesport Cir,,,Huntsville,Madison,,AL,,35801,,34.695002,-86.570438,,True
