name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Adams Nursing Home,,,Debbie Barker Stalnaker,,,,,,,,,,,,,,,(256) 329-0847,,,,,,,,,,,,,,,,Nursing Home,,,,,1555 Hillabee St,,,Alexander City,Tallapoosa,,AL,,35010,,32.94533639999999,-85.9346036,,True
Albertville Nursing Home,,,Mary Meek,,,,,,,,,,,,,,,(256) 878-1398,,,,,,,,,,,,,,,,Nursing Home,,,,,750 Alabama Highway 75 N,,,Albertville,Marshall,,AL,,35951,,34.2804492,-86.1928403,,True
Aliceville Manor Nursing Home,,,Ashley McGee,,,,,,,,,,,,,,,(205) 373-6307,,,,,,,,,,,,,,,,Nursing Home,,,,,703 Seventeenth St NW,,,Aliceville,Pickens,,AL,,35442,,33.1344839,-88.1693894,,True
Allen Health and Rehabilitation,,,Mrs. Cheryl A. Robinson,,,,,,,,,,,,,,,(251) 433-2642,,,,,,,,,,,,,,,,Nursing Home,,,,,735 South Washington Ave,,,Mobile,Mobile,,AL,,36603,,30.6723213,-88.0515728,Texas Street,True
Altoona Health & Rehab,,,"Linda Bigelow, Adm.",,,,,,,,,,,,,,,(205) 589-6394,,,,,,,,,,,,,,,,Nursing Home,,,,,6532 Walnut Grove Rd,,,Altoona,Etowah,,AL,,35952,,34.0333533,-86.32082659999999,,True
Andalusia Manor,,,Trece Mays,,,,,,,,,,,,,,,(334) 222-4544,,,,,,,,,,,,,,,,Nursing Home,,,,,670 Moore Rd,,,Andalusia,Covington,,AL,,36420,,31.2897525,-86.4978055,,True
"Anniston Health and Rehab Services, LLC",,,Felecia Boyd,,,,,P.O. Box 1825,,,,,,,,,,(256) 236-4949,,,,,,,,,,,,,,,,Nursing Home,,,,,500 Leighton Ave,,,Anniston,Calhoun,,AL,,36202,,33.6509424,-85.8254616,,True
"Arbor Springs Health and Rehab Center, Ltd.",,,Matthew Lewis,,,,,,,,,,,,,,,(334) 749-1471,,,,,,,,,,,,,,,,Nursing Home,,,,,1910 Pepperell Pkwy,,,Opelika,Lee,,AL,,36801,,32.639722,-85.40087319999999,,True
Arbor Woods Health and Rehab,,,Tammy Fetner,,,,,P.O. Box 400,,,,,,,,,,(205) 375-6379,,,,,,,,,,,,,,,,Nursing Home,,,,,515 Second Avenue NW,,,Reform,Pickens,,AL,,35481,,33.383931,-88.0144632,,True
Arlington Rehabilitation & HealthCare Center,,,Jessica Miller,,,,,P.O. Box 28665,,,,,,,,,,(205) 788-6330,,,,,,,,,,,,,,,,Nursing Home,,,,,1020 Tuscaloosa Ave SW,,,Birmingham,Jefferson,,AL,,35211,,33.496051,-86.84958069999999,Arlington - West End,True
"Ashland Place Health and Rehabilitation, LLC",,,Matt Goolsby,,,,,,,,,,,,,,,(251) 471-5431,,,,,,,,,,,,,,,,Nursing Home,,,,,148 Tuscaloosa St,,,Mobile,Mobile,,AL,,36607,,30.6899707,-88.0867449,Park Place,True
"Aspire Physical Recovery Center at Cahaba River, LLC",,,Christopher Cornelius,,,,,,,,,,,,,,,(205) 977-7216,,,,,,,,,,,,,,,,Nursing Home,,,,,3070 Healthy Way,,,Vestavia,Jefferson,,AL,,35243,,33.4291623,-86.73634299999999,,True
"Aspire Physical Recovery Center at Hoover, LLC",,,Jamie L. Popee,,,,,,,,,,,,,,,(205) 721-6200,,,,,,,,,,,,,,,,Nursing Home,,,,,575 Southland Dr,,,Hoover,Jefferson,,AL,,35226-3732,,33.41063400000001,-86.8095,,True
"Aspire Physical Recovery Center of West Alabama, LLC",,,Vicki Phillips,,,,,,,,,,,,,,,(205) 330-8412,,,,,,,,,,,,,,,,Nursing Home,,,,,2400 Hospital Dr,,,Northport,Tuscaloosa,,AL,,35476,,33.2293765,-87.5693843,,True
"Athens Health and Rehabilitation, LLC",,,Linda Sams,,,,,,,,,,,,,,,(256) 232-1620,,,,,,,,,,,,,,,,Nursing Home,,,,,611 West Market St,,,Athens,Limestone,,AL,,35611,,34.8030797,-86.9771134,,True
Atmore Nursing Center,,,Marcus Manning,,,,,,,,,,,,,,,(251) 368-9121,,,,,,,,,,,,,,,,Nursing Home,,,,,715 East Laurel St,,,Atmore,Escambia,,AL,,36502,,31.0164422,-87.4760136,,True
Attalla Health and Rehab,,,Prentiss Smith,,,,,,,,,,,,,,,(256) 538-7852,,,,,,,,,,,,,,,,Nursing Home,,,,,915 Stewart Ave SE,,,Attalla,Etowah,,AL,,35954-9363,,33.9841063,-86.1086639,,True
Azalea Gardens of Mobile,,,Elisabeth Anderson,,,,,,,,,,,,,,,(251) 479-0551,,,,,,,,,,,,,,,,Nursing Home,,,,,1758 Springhill Ave,,,Mobile,Mobile,,AL,,36607,,30.6924119,-88.0819853,Park Place,True
