name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
A FEATHERED NEST AT THORNTON,,, MS ANNETTE FARRELL,,, (303)453-0810,,,,,,,,,,,, (303)453-0810,,,,,,,,,,,,,,, (303)480-5624,,Assisted Living,,,,11540 MILWAUKEE ST,,,THORNTON,ADAMS COUNTY,,CO,,80233,USA,39.9034278,-104.9504759,,False
A LEGACY PERSONAL CARE HOME,,, Mr SCOTT BOYLE,,, (303)635-6719,,,,,,,,,,,, (303)783-4989,,,,,,,,,,,,,,, (303)480-5624,,Assisted Living,,,,4050 SOUTH FOX St,,,ENGLEWOOD,ARAPAHOE COUNTY,,CO,,80110,USA,39.643039,-104.994411,,True
A LOVING HAND ASSISTED LIVING INC,,, Ms JANNELLE MOLINA,,, (303)504-6038,,,,,,,,,,,, (303)782-6951,,,,,,,,,,,,,,, (303)480-5624,,Assisted Living,,,,3079 S HOLLY Pl,,,DENVER,ARAPAHOE COUNTY,,CO,,80222,USA,39.6614646,-104.9212946,,True
A ROBIN'S NEST,,, MS MARY LOUISE KOURI,,, (719)226-2942,,,,,,,,,,,, (719)226-2941,,,,,,,,,,,,,,, (719)471-7080,,Assisted Living,,,,3182 E OAK CREEK DR,,,COLORADO SPRINGS,EL PASO COUNTY,,CO,,80906,USA,38.7860313,-104.813407,Southeast Colorado Springs,False
A WILDFLOWER ASSISTED LIVING,,, Ms NICOLE SCHIAVONE,,, (303)422-1795,,,,,,,,,,,, (303)463-4363,,,,,,,,,"1140 US HIGHWAY 287, SUITE 400-298",, A WILDFLOWER ASSISTED LIVING,BROOMFIELD,80020,CO, (303)480-5624,,Assisted Living,,,,6197 W 83RD WAY,,,ARVADA,JEFFERSON COUNTY,,CO,,80003,USA,39.8495272,-105.066111,Lake Arbor,False
A WILDFLOWER ASSISTED LIVING AND CARE HOME,,, Ms NICOLE SCHIAVONE,,, (303)650-5450,,,,,,,,,,,, (303)650-5450,,,,,,,,,"1140 US HWY 287, 400-298",, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,BROOMFIELD,80020,CO, (303)480-5624,,Assisted Living,,,,8823 PRINCETON St,,,WESTMINSTER,ADAMS COUNTY,,CO,,80030,USA,39.8569716,-105.0417382,Shaw Heights,True
A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,,, Ms NICOLE SCHIAVONE,,, (866)941-0523,,,,,,,,,,,, (303)424-0523,,,,,,,,,1140 US HWY 287 #400-298,, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,BROOMFIELD,80020,CO, (303)480-5624,,Assisted Living,,,,9423 W 64TH Ave,,,ARVADA,JEFFERSON COUNTY,,CO,,80004,USA,39.8135203,-105.1028061,Scenic Heights,True
A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,,, Ms NICOLE SCHIAVONE,,, (303)728-9239,,,,,,,,,,,, (303)728-9238,,,,,,,,,1140 US HWY 287 UNIT 400-298,, A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,BROOMFIELD,80020,CO, (303)480-5624,,Assisted Living,,,,10130 MELODY DR,,,NORTHGLENN,ADAMS COUNTY,,CO,,80260,USA,39.88043460000001,-104.9912594,,False
ABBEY ROAD ASSISTED LIVING ULSTER,,, Ms LAURIE WILSON,,, (303)771-0998,,,,,,,,,,,, (720)488-6609,,,,,,,,,2760 W RIVERWALK CR UNIT B,, ABBEY ROAD ASSISTED LIVING-ULSTER,LITTLETON,80123,CO, (303)480-5624,,Assisted Living,,,,7347 SOUTH ULSTER St,,,CENTENNIAL,ARAPAHOE COUNTY,,CO,,80112,USA,39.5833448,-104.8947372,,True
ABBEY ROAD ASSISTED LIVING-NEWPORT,,, Ms LAURIE WILSON,,, (303)771-0280,,,,,,,,,,,, (720)529-6772,,,,,,,,,2760 W. RIVERWALK CIRCLE UNIT B,, ABBEY ROAD ASSISTED LIVING,LITTLETON,80123,CO, (303)480-5624,,Assisted Living,,,,8155 S NEWPORT WAY,,,CENTENNIAL,ARAPAHOE COUNTY,,CO,,80112,USA,39.5684434,-104.9105924,,False
ABBYS ASSISTED LIVING I,,,  SULASTRI ARDOIN,,, (303)504-0850,,,,,,,,,,,, (720)338-3606,,,,,,,,,,,,,,, (303)480-5624,,Assisted Living,,,,2607 S EUDORA Pl,,,DENVER,ARAPAHOE COUNTY,,CO,,80222,USA,39.6691561,-104.9301136,South,True
ABBYS ASSISTED LIVING II,,,  SULASTRI ARDOIN,,, (303)504-0850,,,,,,,,,,,, (720)338-3606,,,,,,,,,2607 S. EUDORA PLACE,, ABBY'S ASSISTED LIVING II,DENVER,80222,CO, (303)480-5624,,Assisted Living,,,,3071 S ROSEMARY St,,,DENVER,DENVER COUNTY,,CO,,80231,USA,39.6614918,-104.8994069,Southeast,True
ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,,, Ms CAROL EIBER,,, (720)210-9878,,,,,,,,,,,, (303)478-8174,,,,,,,,,7781 S GLENCOE COURT,, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,CENTENNIAL,80122,CO, (303)480-5624,,Assisted Living,,,,2510 S HOLLY Pl,,,DENVER,ARAPAHOE COUNTY,,CO,,80222,USA,39.6708669,-104.9255831,,True
ABUNDANT BLESSINGS AND CARE ASSISTED LIVING-EASTMAN,,, Ms CAROL EIBER,,, (720)210-9878,,,,,,,,,,,, (303)478-8174,,,,,,,,,7781 SOUTH GLENCOE COURT,, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,CENTENNIAL,80122,CO, (303)480-5624,,Assisted Living,,,,6461 EAST EASTMAN Ave,,,DENVER,ARAPAHOE COUNTY,,CO,,80222,USA,39.6589877,-104.9135632,,True
ABUNDANT BLESSINGS AND CARE ASST LVG - GEDDES AVE,,, Ms CAROL EIBER,,, (720)210-9878,,,,,,,,,,,, (303)960-6711,,,,,,,,,7781 SOUTH GLENCOE COURT,, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING-GEDDES,CENTENNIAL,80122,CO, (303)480-5624,,Assisted Living,,,,1137 E GEDDES AVE,,,CENTENNIAL,ARAPAHOE COUNTY,,CO,,80122,USA,39.5841575,-104.9754883,,False
ABUNDANT BLESSINGS AND CARE -MARION WAY,,, Ms CAROL EIBER,,, (720)210-9878,,,,,,,,,,,, (303)478-8174,,,,,,,,,7781 S. GLENCOE COURT,, ABUNDANT BLESSINGS AND CARE-MARION WAY,CENTENNIAL,80122,CO, (303)480-5624,,Assisted Living,,,,6203 SOUTH MARION WAY,,,CENTENNIAL,ARAPAHOE COUNTY,,CO,,80121,USA,39.6039459,-104.9697691,,False
ACACIA ASSISTED LIVING - MEXICO LLC,,, Ms KATHY TOPPING,,, (720)306-8235,,,,,,,,,,,, (720)306-8237,,,,,,,,,"1551 LARIMER ST, # 1905",, ACACIA ASSISTED LIVING - MEXICO LLC,DENVER,80202,CO, (303)480-5624,,Assisted Living,,,,6419 W MEXICO Ave,,,LAKEWOOD,JEFFERSON COUNTY,,CO,,80232,USA,39.6864954,-105.0670986,Lasley,True
"ACACIA ASSISTED LIVING-TELLER, LLC",,, Ms KATHY TOPPING,,, (720)306-8235,,,,,,,,,,,, (720)306-8237,,,,,,,,,"1551 LARIMER ST, SUITE 1905",, ACACIA ASSISTED LIVING - TELLER,DENVER,80202,CO, (303)480-5624,,Assisted Living,,,,1069 S TELLER ST,,,LAKEWOOD,JEFFERSON COUNTY,,CO,,80228,USA,39.6973664,-105.0776037,South Alameda,False
"ACADEMY AT BELLA VISTA, THE",,, Ms LORI SMITH,,, (720)565-9076,,,,,,,,,,,, (303)442-3896,,,,,,,,,,,,,,,LIMITED PARTNERSHIP,,Assisted Living,,,,2762 BELLA VISTA Ln,,,BOULDER,BOULDER COUNTY,,CO,,80302,USA,40.008943,-105.260231,,True
