name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
2ND HOME ADULT DAY SERVICE CENTER OF AURORA LLC,,,Mr HANEEN OMAR,,,,,,,,,,,,,,,(303)999-7763,,,,,,,,,,,,,,,,ADC,,,,,10730 EAST ILIFF AVE,,,AURORA,ADAMS COUNTY,,CO,,80014,USA,39.6746774,-104.8634533,East Ridge - Ptarmigan Park,False
ABSOLUTE ADULT DAY PROGRAM,,,SVETLANA HOPCUS,,,(303)534-1757,,,,,,,,,,,,(303)534-0321,,,,,,,,,,,,,,,,ADC,,,,,12500 W58TH AVE,# 103,,ARVADA,JEFFERSON COUNTY,,CO,,80002,USA,39.8014357,-105.139375,Candlelight,False
ACTIVE HEARTS ADULT DAY PROGRAM,,,OLGA SHAPOVALOVA,,,(720)477-1718,,,,,,,,,,,,(720)477-1717,,,,,,,,,,,,,,,,ADC,,,,,3000 S WADSWORTH Blvd,,,DENVER,DENVER COUNTY,,CO,,80227,USA,39.66335710000001,-105.0807233,Southwest,True
ADULT CARE SERVICES,,,Ms ERIN EULENFELD,,,(970)472-5836,,,,,,,,,,,,(970)266-5443,,,,,,,,,,,,,,,,ADC,,,,,400 WOOD St,,,FORT COLLINS,LARIMER COUNTY,,CO,,80521,USA,40.5924452,-105.0906883,Capitol Hill,True
AGAPE CARE ADULT DAY PROGRAM,,,TONJA ABIAKAM,,,(303)368-7202,,,,,,,,,,,,(303)368-7200,,,,,,,,,,,,,,,,ADC,,,,,3131 S VAUGHN WAY,STE 110,,AURORA,ARAPAHOE COUNTY,,CO,,80014,USA,39.66029899999999,-104.8369689,Heather Gardens,False
ALPINE ADULT DAY CARE LLC,,,Ms ANNA KASSNER,,,(303)755-8003,,,,,,,,,,,,(303)755-8002,,,,,,,,,,,,,,,,ADC,,,,,1985 S HAVANA St,,,AURORA,ARAPAHOE COUNTY,,CO,,80014,USA,39.68041659999999,-104.8661201,Dayton Triangle,True
ALTA VISTA ALTERNATIVES,,,Mr DUANE ROY,,,(719)846-4608,,,,,,,,,,,,(719)846-4631,,,,,,,,,,,,,,,,ADC,,,,,415 S INDIANA AVE,,,TRINIDAD,LAS ANIMAS COUNTY,,CO,,81082,USA,37.1686357,-104.49105,,False
"AMISTAD OF SAN LUIS, INC",,,MS ANN FUNK,,,,,,,,,,,,,,,(719)672-0892,,,,,,,,,,,,,,,,ADC,,,,,403 MAIN ST,,,SAN LUIS,COSTILLA COUNTY,,CO,,81152,USA,37.20003199999999,-105.4259512,,False
"ASPEN ADULT DAY CARE, INC",,,FLORINA LAZAREV,,,(303)320-0089,,,,,,,,,,,,(303)320-0048,,,,,,,,,,,,,,,,ADC,,,,,8810 E HAMPDEN AVE,# 103,,DENVER,DENVER COUNTY,,CO,,80231,USA,39.65224800000001,-104.886242,Southeast,False
AUTHENTIC ADULT DAY SERVICES INC,,,Mr ABDIRASHID SAYID,,,(720)111-1111,,,,,,,,,,,,(720)404-7502,,,,,,,,,,,,,,,,ADC,,,,,16251 E COLAX Ave,,,AURORA,ADAMS COUNTY,,CO,,80011,USA,39.7408119,-104.7986342,Norfolk Glen,True
AZA ADULT DAY CARE,,,Ms AAZA ABAAS,,,(303)745-2721,,,,,,,,,,,,(303)696-2600,,,,,,,,,,,,,,,,ADC,,,,,10691 E BETHANY DR,# 200,,AURORA,ARAPAHOE COUNTY,,CO,,80014,USA,39.663654,-104.8643484,,False
