row_id,AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
USA-FL-62-All-62-AssistedLiving-1,11965010,9523,08/01/2016,07/31/2018,Assisted Living Facility,(THE) ANGELS RETIREMENT HOME CORP,14714 SW 177TH TERR,,MIAMI,FL,33187,Miami-Dade,(305) 378-4406,14714 SW 177TH TER,,MIAMI,FL,33187-7705,Miami-Dade,LICENSED,THE ANGELS RETIREMENT HOME CORP,08/01/2014,NITZA V ROSADO,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-2,11968002,11973,03/17/2017,03/16/2019,Assisted Living Facility,1 KIND HOME INC,911 SW 12TH AVE # 913,,MIAMI,FL,33130-3627,Miami-Dade,(305) 285-1012,911 SW 12TH AVE # 913,,MIAMI,FL,33130-3627,Miami-Dade,LICENSED,1 KIND HOME  INC,12/15/2010,KARINA MIRANDA,12,For-Profit,
USA-FL-62-All-62-AssistedLiving-3,11965870,10183,02/12/2016,02/11/2018,Assisted Living Facility,1 ZOURCE LIVING CARE,1401 NE 176TH ST,,N MIAMI BEACH,FL,33162-1363,Miami-Dade,(305) 935-4186,16808 SW 39 STREET,,MIRAMAR,FL,33027,Broward,LICENSED,1ZOURCE CORPORATION,12/10/2007,ROGELIO MALUBAY,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-4,11910670,6633,12/04/2016,12/03/2018,Assisted Living Facility,2065INC FORT LAUDERDALE RETIREMENT HOME ANNEX,420 SE 12TH COURT,,FORT LAUDERDALE,FL,33316,Broward,(954) 524-3312,420 SE 12TH COURT,,FORT LAUDERDALE,FL,33316,Broward,LICENSED,2065  INC.,05/07/1991,BETSY ROBERTSON-BUSH,28,For-Profit,
USA-FL-62-All-62-AssistedLiving-5,11968637,12495,04/22/2016,04/21/2018,Assisted Living Facility,A & C GOD BLESS ASSISTED LIVING FACILITY,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,(321) 557-7219,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,LICENSED,A&C GODBLESS ASSISTED LIVING FACILITY  LLC,04/22/2014,CARLINE JEAN LOUIS,5,Not-For-Profit,
USA-FL-62-All-62-AssistedLiving-6,11968530,12391,01/08/2017,01/07/2019,Assisted Living Facility,A & J ALF OF FLORIDA INC  II,808 GILLEN AVE NW,,PALM BAY,FL,32907,Brevard,(754) 245-3745,3929 GARDENWOOD CIRCLE,,GRANT,FL,32949,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,01/08/2017,ANGELLA RUDEEN SPENCE,5,For-Profit,www.shangri-la-alf.com
USA-FL-62-All-62-AssistedLiving-7,11967643,11643,06/01/2016,05/31/2018,Assisted Living Facility,A & J ALF OF FLORIDA  INC II,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,(321) 327-2772,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,05/26/2010,ANGELLA RUDEEN SPENCE,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-8,11966997,11141,10/25/2015,10/24/2017,Assisted Living Facility,A & L HEALTH CARE CORP NO. 2,8208 NW 14TH STREET,,CORAL SPRINGS,FL,33071,Broward,(954) 345-7481,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,06/20/2007,SANDRA PATRICIA RILEY,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-9,11965541,9959,12/18/2016,12/17/2018,Assisted Living Facility,A & L HEALTHCARE  CORP.,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,(954) 757-8739,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,10/15/2015,SANDRA PATRICIA RILEY,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-10,11967196,11235,02/12/2016,02/11/2018,Assisted Living Facility,A & M ASSISTED LIVING FACILITY,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,(321) 604-8853,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,01/03/2008,MARLENE GILLIARD,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-11,11967516,11516,01/08/2017,01/07/2019,Assisted Living Facility,A & M ASSISTED LIVING FACILITY II,2180 STRATFORD POINTE DR,,WEST MELBOURNE,FL,32904-8008,Brevard,(321) 327-7209,2180 STRATFORD PT DR,,WEST MELBOURNE,FL,32904,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,12/03/2012,ANTHONY GILLIARD,6,For-Profit,
USA-FL-62-All-62-AssistedLiving-12,11967791,11794,04/30/2016,04/29/2018,Assisted Living Facility,A BANYAN RESIDENCE,100 BASE AVENUE EAST,,VENICE,FL,34285,Sarasota,(941) 412-4748,3107 NE 40 COURT,,FORT LAUDERDALE,FL,33308,Broward,LICENSED,A BANYAN RESIDENCE ASSISTED LIVING  LLC,01/25/2010,AMANDA LABELL,71,For-Profit,
USA-FL-62-All-62-AssistedLiving-13,11969071,12903,09/14/2016,09/13/2018,Assisted Living Facility,A BEACON HAVEN LLC,13674 STAIMFORD DR,,WELLINGTON,FL,33414,Palm Beach,(561) 596-9726,13674 STAIMFORD  DR,,WELLINGTON,FL,33414,Palm Beach,LICENSED,A BEACON HAVEN LLC,07/20/2016,YVONNE LAWRENCE,5,For-Profit,
USA-FL-62-All-62-AssistedLiving-14,11968721,12591,12/04/2016,12/03/2018,Assisted Living Facility,A BELLA VITA PLACE ASSISTED LIVING  LLC,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,(561) 371-4146,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,A BELLA VITA PLACE ASSISTED LIVING  LLC,09/03/2014,NICOLE BEAZIEUX-GERMAIN,5,For-Profit,
USA-FL-62-All-62-AssistedLiving-15,11968585,12524,06/23/2016,06/22/2018,Assisted Living Facility,A BETTER CARE LLC,308 S 30TH ST,,FORT PIERCE,FL,34947,St. Lucie,(772) 595-5565,308 S 30TH ST,,FORT PIERCE,FL,34947,St. Lucie,LICENSED,A BETTER CARE LLC,06/23/2014,JOSEPH KANHAI,9,For-Profit,
USA-FL-62-All-62-AssistedLiving-16,11968042,12011,06/08/2017,06/07/2019,Assisted Living Facility,A COMFORT LIVING INC,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,(305) 681-3137,1660 NW 135TH ST,,NORTH MIAMI,FL,33167-1608,Miami-Dade,LICENSED,A COMFORT LIVING INC.,02/17/2011,LIANA TEDJADINATA,6,For-Profit,www.acomfortlivingfacility.com
USA-FL-62-All-62-AssistedLiving-17,11966113,10368,12/10/2015,09/28/2017,Assisted Living Facility,A COUNTRY PLACE,10515 MEMORIAL HIGHWAY,,TAMPA,FL,33615,Hillsborough,(813) 891-0549,10515 MEMORIAL HIGHWAY,,TAMPA,FL,33615,Hillsborough,LICENSED,VILLAS OF TAMPA  LLC (THE),08/15/2003,ROBERT ALAN LOOMIS,24,For-Profit,www.TampaALF.com
USA-FL-62-All-62-AssistedLiving-18,11910366,5699,10/01/2016,09/30/2018,Assisted Living Facility,A COUNTRY RESIDENCE,14327 69TH DRIVE  NORTH,,PALM BEACH GARDENS,FL,33418-7240,Palm Beach,(561) 622-1348,14327 69TH DRIVE  NORTH,,PALM BEACH GARDENS,FL,33418,Palm Beach,LICENSED,ADULT QUALITY CARE HOMES  INC.,10/01/2002,DENISE Y LARMAN,10,For-Profit,
USA-FL-62-All-62-AssistedLiving-19,11964920,9562,04/22/2017,04/21/2019,Assisted Living Facility,A HOME AWAY FROM HOME ALF INC,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,(305) 229-1315,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,LICENSED,A HOME AWAY FROM HOME ALF  INC.,04/22/2005,AILEEN DELGADO,6,For-Profit,
