name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Beau Maison,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=44555614,,,,,,,,,,,,,,,,,3520 Cleary Ave,,,Metairie,,,,,70002,USA,30.0067992,-90.17308419999999,,True
Blake Management Group,,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=38308806,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,False
Blue Cross Blue Shield Of Louisiana,,,,,,,,,,,,,,,,,,,,,http://www.bcbsla.com/Pages/Home.aspx,http://www.lalaonline.org/members/?id=43489553,,,,,,,,,,,,,,,,,5525 Reitz Ave,,,Baton Rouge,,,,,70809,USA,30.3945477,-91.0799114,,True
Bloom Senior Living (Bloom at Bossier),,,,,,,,,,,,,,,,,,,,,http://bloomatbossier.com,http://www.lalaonline.org/members/?id=33672177,,,,,,,,,,,,,,,,,,,,Bossier City,,,,,71112,USA,32.51598519999999,-93.7321228,,False
"Barbara Reece, Executive Director, A & D Residential Care",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=25706323,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70114,USA,29.95106579999999,-90.0715323,,False
"Patti Guidry, Assistant Executive Director, Azalea Estates of Slidell - Robert",,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25706334,,,,,,,,,,,,,,,,,,,,Slidell,,,,,70458,USA,30.27519449999999,-89.78117449999999,,False
Azalea Estates of New Iberia - Andre,,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578758,,,,,,,,,,,,,,,,,,,,New Iberia,,,,,70563,USA,30.00353649999999,-91.81872849999999,,False
Azalea Estates of Gonzales - Purpera,,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578755,,,,,,,,,,,,,,,,,,,,Gonzales,,,,,70737,USA,30.23852939999999,-90.9200987,,False
Beau Provence,,,,,,,,,,,,,,,,,,,,,http://beauprovence.com/,http://www.lalaonline.org/members/?id=29464971,,,,,,,,,,,,,,,,,,,,Mandeville,,,,,70471,USA,30.35825059999999,-90.06563109999999,,False
"Tasha McCullers, Executive Assistant, Azalea Estates of New Iberia - Andre",,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=28827158,,,,,,,,,,,,,,,,,,,,New Iberia,,,,,70563,USA,30.00353649999999,-91.81872849999999,,False
Azalea Estates of Monroe - Old Sterlington,,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578756,,,,,,,,,,,,,,,,,,,,Monroe,,,,,71203,USA,32.5093109,-92.1193012,,False
"Scott Kantor, Director of Operations, Bloom Senior Living (Bloom at Bossier)",,,,,,,,,,,,,,,,,,,,,http://bloomatbossier.com,http://www.lalaonline.org/members/?id=33672258,,,,,,,,,,,,,,,,,,,,Bossier City,,,,,71112,USA,32.51598519999999,-93.7321228,,False
Azalea Estates of Shreveport,,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578759,,,,,,,,,,,,,,,,,,,,Shreveport,,,,,71115,USA,32.5251516,-93.7501789,,False
"Cecelia Rivere, Executive Assistant, Azalea Estates of Gonzales - Purpera",,,,,,,,,,,,,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=28829937,,,,,,,,,,,,,,,,,,,,Gonzales,,,,,70737,USA,30.23852939999999,-90.9200987,,False
"Auto-Chlor Services, LLC",,,,,,,,,,,,,,,,,,,,,,http://www.lalaonline.org/members/?id=43468054,,,,,,,,,,,,,,,,,500 Dakin St,,,Jefferson,,,,,70121,USA,29.9574872,-90.1362058,,True
"Meaghan McDermott, Woldenberg Village Retirement Community",,,,,,,,,,,,,,,,,,,,,http://www.touro.com/content/wv/assisted.htm,http://www.lalaonline.org/members/?id=25706400,,,,,,,,,,,,,,,,,,,,New Orleans,,,,,70114,USA,29.95106579999999,-90.0715323,,False
