name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Ashton Manor,,,Jay Tipton,jay@ashton-manor.com,,985-785-7773,,,,,,,,,,,,985-785-8288,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/7494/catid/161,,,,,,,,,,,,,Shelter Care Home,,,,270 Ashton Plantation Blvd,,,Luling,,,LA,,70070,USA,29.929877,-90.37760999999999,,True
Academy House,,,Mrs. Peggy C Stahls,stahlsp@bellsouth.net,,504-780-7482,,,,,,,,,,,,504-884-1063,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/912/catid/161,,,,,,,,,,,,,Personal Care Home,,,,4324 Academy Dr,,,Metairie,,,LA,,70003,USA,30.0172306,-90.2126558,,True
Almor Ponderosa,,,Barbara  Howard,patricia@almorenterprises.com,,318-787-6320,,,,,,,,,,,,318-787-6320,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/913/catid/161,,,,,,,,,,,,,Shelter Care Home,,,,830 MCKEITHEN Dr,,,ALEXANDRIA,,,LA,,71303,USA,31.2782559,-92.5376917,,True
Amber Terrace,,,Ms. Terry Atchetre,EDAMBERTERRACE@AMBERTERRACES.COM,,225-767-7807,,,,,,,,,,,,225-767-7877,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/976/catid/161,,,,,,,,,,,,,Assisted Living,,,,8585 Summa Ave,,,Baton Rouge,,,LA,,70808,USA,30.3976903,-91.09729109999999,South Baton Rouge,True
Anderson Memory Care LLC,,,"Ginger Hanrahan, Director",AMC1202@outlook.com,,(985) 646-4681,,,,,,,,,,,,985-646-4677,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8002/catid/161,,,,,,,,,,,,,Assisted Living,,,,4108 Dauphine St,,,Slidell,,,LA,,70458,USA,30.3110735,-89.7420363,,True
"Arbor and Terrace Senior Center of Ruston, L. L. C. (The)",,,Mr. Jerry Fletcher,arborruston1@bellsouth.net,,318-251-3152,,,,,,,,,,,,318-251-3116,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/919/catid/161,,,,,,,,,,,,,Assisted Living,,,,4518 Highway 80 E,,,Ruston,,,LA,,71270,USA,32.5362556,-92.5995447,,True
Beau Maison,,,Jason Hemel,jasonhemel@gmail.com,,888-606-2434,,,,,,,,,,,,504-259-0326,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8936/catid/161,,,,,,,,,,,,,Personal Care Home,,,,3520 Cleary Ave,,,Metairie,,,LA,,70002,USA,30.0067992,-90.17308419999999,,True
Belle Reve New Orleans,,,Vicki G. Weeks,vickiweeks@bellerevenola.org,,504-942-2660,,,,,,,,,,,,504-945-9455,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/7581/catid/161,,,,,,,,,,,,,Personal Care Home,,,,3029 Royal St,,,New Orleans,,,LA,,70117,USA,29.9638894,-90.04647,Bywater,True
Bailey Place,,,Joyce Brunson,,,318-346-6206,,,,,,,,,,,,318-346-8400,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/928/catid/161,,,,,,,,,,,,,Assisted Living,,,,650 Pershing Ave,,,Bunkie,,,LA,,71322,USA,30.9440725,-92.1901086,,True
Azalea Estates of Slidell,,,Susie Richard,azaleaslidelled@bellsouth.net,,985-645-0659,,,,,,,,,,,,985-641-2827,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/926/catid/161,,,,,,,,,,,,,Assisted Living,,,,354 Robert Blvd,,,Slidell,,,LA,,70458,USA,30.300904,-89.751794,,True
Beau Provence,,,Richele Jarrell,shelly@beauprovence.com,,(985) 400-5760,,,,,,,,,,,,(985) 778-0755,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/8009/catid/161,,,,,,,,,,,,,Shelter Care,,,,100 Beau West Dr,,,Mandeville,,,LA,,70471,USA,30.394873,-90.10392600000002,,True
Azalea Estates of Shreveport,,, Lorrie  Nunley,azalealpn@bellsouth.net,,318-797-8540,,,,,,,,,,,,318-797-2408,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/925/catid/161,,,,,,,,,,,,,Assisted Living,,,,516 East Flournoy Lucas Rd,,,Shreveport,,,LA,,71115,USA,32.4015336,-93.7120175,Ellerbee Woods,True
