name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
"Autumn Leaves Nursing & Rehab Center, LLC",,,Mr Jimmy D Zimmerman,autumnleavesadmin@centralmanagement.com,,(318)628-6171,,P.O. Drawer 591,Winnfield,,,,,,71483,LA,,(318)628-4152,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11917/catid/173,,,,,,,,,,,,,Nursing Home,,,,342 Country Club Rd,,,Winnfield,,,LA,,71483,USA,31.9117552,-92.6617861,,True
Arbor Lake Skilled Nursing & Rehabilitaton,,,Matthew  Hall,mhall@paramounthcla.com,,(318)368-0301,,P.O. Box 206,Farmerville,,,,,,71241,LA,,(318)368-3103,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11913/catid/173,,,,,,,,,,,,,Nursing Home,,,,1155 Sterlington Hwy,,,Farmerville,,,LA,,71241,USA,32.7689398,-92.3820338,,True
Ascension Oaks Nursing & Rehab Center,,,Mr Brett  Arceneaux,aoaksadmin@centralmanagement.com,,(225)644-0373,711 W. Cornerview Road,,Gonzales,,,,,,70737,LA,,(225)644-6581,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11914/catid/173,,,,,,,,,,,,,Nursing Home,,,,711 W Cornerview Rd,,,Gonzales,,,LA,,70737,USA,30.232214,-90.9271184,,True
Audubon Health and Rehab,,,Charles L Lebon,clebon@asimgt.com,,(985)447-5329,2110 Audubon Ave.,,Thibodaux,,,,,,70301,LA,,(985)446-3109,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11916/catid/173,,,,,,,,,,,,,Nursing Home,,,,2110 Audubon Ave,,,Thibodaux,,,LA,,70301,USA,29.7794608,-90.8096624,,True
Avalon Place,,,Samantah Craig,apadmin@paramounthcla.com,,(318)322-2597,4385 Old Sterlington Road,,Monroe,,,,,,71203,LA,,(318)322-2000,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11918/catid/173,,,,,,,,,,,,,Nursing Home,,,,4385 Old Sterlington Rd,,,Monroe,,,LA,,71203,USA,32.576127,-92.0685357,,True
"Acadia St. Landry Guest Home, Inc.",,,Mr Brian  Hensgens,brian@aslgh.com,,(337)684-6315,830 S. Broadway St.,,Church Point,,,,,,70525,LA,,(337)684-6316,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11909/catid/173,,,,,,,,,,,,,Nursing Home,,,,830 S Broadway St,,,Church Point,,,LA,,70525,USA,30.3942252,-92.2107463,,True
Belle Maison Nursing Home,,,Mr Kevin P Guitreau,kguitreau@bellemaison.org,,(985)542-8619,15704 Medical Arts Plaza,,Hammond,,,,,,70403,LA,,(985)542-0110,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11927/catid/173,,,,,,,,,,,,,Nursing Home,,,,15704 Medical Arts Plaza,,,Hammond,,,LA,,70403,USA,30.4648151,-90.457551,,False
Belle Teche Nursing &  Rehab Center,,,"Harvey  Koenig, Ii",belletecheadmin@centralmanagement.com,,(337)365-8932,,P.O. Box 9766,New Iberia,,,,,,70562,LA,,(337)364-5472,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11928/catid/173,,,,,,,,,,,,,Nursing Home,,,,1306 W Admiral Doyle Dr,,,New Iberia,,,LA,,70560,USA,30.00862,-91.844684,,True
Bayside Healthcare Center,,,Mr Gary  Allen,admin@baysidehealthcare.net,,(504)391-7426,3201 Wall Blvd.,,Gretna,,,,,,70056,LA,,(504)393-1515,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11926/catid/173,,,,,,,,,,,,,Nursing Home,,,,3201 Wall Blvd,,,Gretna,,,LA,,70056,USA,29.865949,-90.030171,,True
Affinity Nursing & Rehab Center,,,Sandy  Pennington,edaffinity@nursingrehab.net,,(225)387-5939,4005 North Blvd.,,Baton Rouge,,,,,,70806,LA,,(225)387-5934,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11910/catid/173,,,,,,,,,,,,,Nursing Home,,,,4005 North Blvd,,,Baton Rouge,,,LA,,70806,USA,30.4488037,-91.1484395,Mid City South,True
