name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",,,CATHLEEN O'CONNOR,,,2076237666,,,,,,,,,,,,2076223121,,,,,,,,,,,,,,,,,Nursing Home,,,,188 EASTERN AVE,,,AUGUSTA,KENNEBEC,,ME,,4330,USA,44.30694819999999,-69.7532319,Mayfair,True
BANGOR NURSING & REHABILITATION,,,PHILLIP BENNETT,,,2079929097,,,,,,,,,,,,2079474557,,,,,,,,,,,,,,,,,Nursing Home,,,,103 TEXAS AVE,,,BANGOR,PENOBSCOT,,ME,,4401,USA,44.8071667,-68.80050729999999,,True
BARRON CENTER,,,EDWARD LATHAM,,,2075416555,,,,,,,,,,,,2077742623,,,,,,,,,,,,,,,,,Nursing Home,,,,1145 BRIGHTON AVE,,,PORTLAND,CUMBERLAND,,ME,,4102,USA,43.676937,-70.3258192,Nasons Corner,True
BORDERVIEW REHAB & LIVING CTR,,,ROBERT POIESZ,,,2078683579,,,,,,,,,,,,2078685211,,,,,,,,,,,,,,,,,Nursing Home,,,,208 STATE STREET,,,VAN BUREN,AROOSTOOK,,ME,,4785,USA,47.1497723,-67.9365648,,True
"BRENTWOOD CENTER FOR HEALTH & REHABILITATION, LLC",,,KEVIN HACHEY,,,2078461497,,,,,,,,,,,,2078469021,,,,,,,,,,,,,,,,,Nursing Home,,,,370 PORTLAND ST,,,YARMOUTH,CUMBERLAND,,ME,,4096,USA,43.78859529999999,-70.1931099,Yarmouth,True
"BREWER CENTER FOR HEALTH & REHABILITATION, LLC",,,JUNE PICKERING,,,2079894240,,,,,,,,,,,,2079897300,,,,,,,,,,,,,,,,,Nursing Home,,,,74 PARKWAY SOUTH,,,BREWER,PENOBSCOT,,ME,,4412,USA,44.7805708,-68.754436,,True
BRIDGTON HEALTH CARE CENTER,,,DAVID HICKS,,,2076473285,,,,,,,,,,,,2076478821,,,,,,,,,,,,,,,,,Nursing Home,,,,186 PORTLAND ROAD,,,BRIDGTON,CUMBERLAND,,ME,,4009,USA,44.0418846,-70.6983948,,True
CARIBOU REHAB AND NURSING CENTER,,,PHILLIP CYR,,,2074983461,,,,,,,,,,,,2074983102,,,,,,,,,,,,,,,,,Nursing Home,,,,10 BERNADETTE ST,,,CARIBOU,AROOSTOOK,,ME,,4736,USA,46.8712014,-68.01177919999999,,True
CEDAR RIDGE CENTER,,,MICHAEL MCDOUGALL,,,2074748626,,,,,,,,,,,,2074749686,,,,,,,,,,,,,,,,,Nursing Home,,,,23 CEDAR RIDGE DRIVE,,,SKOWHEGAN,SOMERSET,,ME,,4976,USA,44.7814284,-69.7060455,Skowhegan,True
CEDARS NURSING CARE CENTER,,,KATHRYN CALLNAN,,,2077726038,,,,,,,,,,,,2077725456,,,,,,,,,,,,,,,,,Nursing Home,,,,630 OCEAN AVENUE,,,PORTLAND,CUMBERLAND,,ME,,4112,USA,43.6881921,-70.26768229999999,North Deering,True
CLOVER MANOR,,,CYNTHIA QUINLAN,,,2077823023,,,,,,,,,,,,2077843573,,,,,,,,,,,,,,,,,Nursing Home,,,,440 MINOT AVE,,,AUBURN,ANDROSCOGGIN,,ME,,4210,USA,44.0828301,-70.2447991,,True
COASTAL MANOR,,,OREY GADWAY,,,2078462252,,,,,,,,,,,,2078465013,,,,,,,,,,,,,,,,,Nursing Home,,,,20 WEST MAIN STREET,,,YARMOUTH,CUMBERLAND,,ME,,4096,USA,43.80372029999999,-70.19464850000001,Yarmouth,True
COLONIAL HEALTH CARE,,,BETTY POMEROY,,,2077942173,,,,,,,,,,,,2077946534,,,,,,,,,,,,,,,,,Nursing Home,,,,36 WORKMAN TERRACE STREET,,,LINCOLN,PENOBSCOT,,ME,,4457,USA,45.3555782,-68.5009237,Lincoln,True
COUNTRY MANOR NURSING HOME,,,NATHAN ROSEBERRY,,,2075493617,,,,,,,,,,,,2075497471,,,,,,,,,,,,,,,,,Nursing Home,,,,132 MAIN STREET,,,COOPERS MILLS,LINCOLN,,ME,,4341,USA,44.2595392,-69.5536656,,True
COURTLAND REHAB & LIVING CENTER,,,MARK STEWART,,,2076677197,,,,,,,,,,,,2076679036,,,,,,,,,,,,,,,,,Nursing Home,,,,42 BUCKSPORT RD,,,ELLSWORTH,HANCOCK,,ME,,4605,USA,44.5384316,-68.4313556,,True
COVE'S EDGE,,,CHERYL DOBBELSTEYN,,,2075634610,,,,,,,,,,,,2075634608,,,,,,,,,,,,,,,,,Nursing Home,,,,26 SCHOONER STREET,,,DAMARISCOTTA,LINCOLN,,ME,,4543,USA,44.02507629999999,-69.5295863,,True
CUMMINGS HEALTH CARE FACILITY,,,MELINDA GOSLIN,,,2077325133,,,,,,,,,,,,2077324121,,,,,,,,,,,,,,,,,Nursing Home,,,,5 CROCKER STREET,,,HOWLAND,PENOBSCOT,,ME,,4448,USA,45.250882,-68.6662592,Howland,True
DEXTER HEALTH CARE,,,STEVEN ROBITAILLE,,,2079246487,,,,,,,,,,,,2079245516,,,,,,,,,,,,,,,,,Nursing Home,,,,64 PARK STREET,,,DEXTER,PENOBSCOT,,ME,,4930,USA,45.0271068,-69.283794,,True
DURGIN PINES,,,NICHOLAS BRIDGES,,,2074519104,,,,,,,,,,,,2074399800,,,,,,,,,,,,,,,,,Nursing Home,,,,9 LEWIS RD,,,KITTERY,YORK,,ME,,3904,USA,43.12259950000001,-70.7126421,,True
EASTPORT MEMORIAL NURSING HOME,,,JOHN WOOD,,,2078537117,,,,,,,,,,,,2078532531,,,,,,,,,,,,,,,,,Nursing Home,,,,23 BOYNTON STREET,,,EASTPORT,WASHINGTON,,ME,,4631,USA,44.9052913,-66.98766499999999,,True
"EASTSIDE CENTER FOR HEALTH & REHABILITATION, LLC",,,CASSANDRA BYORAK,,,2079420884,,,,,,,,,,,,2079476131,,,,,,,,,,,,,,,,,Nursing Home,,,,516 MT HOPE AVENUE,,,BANGOR,PENOBSCOT,,ME,,4401,USA,44.8212136,-68.7452045,,True
