name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Rolling Green Village Health Care Facility,,,,,,,,,,,,,,,,,,864-987-9800,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=101,,,,,,,,,,,,,Nursing Facility,,,,1 Hoke Smith Blvd,,,Greenville,Greenville,,SC,,29615,US,34.84298140000001,-82.26299089999999,,True
Emeritus At Greenville,,,,,,,,,,,,,,,,,,864-286-6600,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=102,,,,,,,,,,,,,Nursing Facility,,,,1306 Pelham Rd,,,Greenville,Greenville,,SC,,29615,US,34.85543,-82.307237,,True
Linville Courts At The Cascades Verdae,,,,,,,,,,,,,,,,,,864-528-5501,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=103,,,,,,,,,,,,,Nursing Facility,,,,30 Springcrest Ct,,,Greenville,Greenville,,SC,,29607,US,34.8254594,-82.3152214,,True
PruittHealth Aiken,,,Adam Butler,ANButler@pruitthealth.com,,803-649-2298,,,,,,,,,,,,803-641-8000,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=104,,,,,,,,,,,,,Nursing Facility,,,,830 Laurens St,,,Aiken,Aiken,,SC,,29801,US,33.5767716,-81.71934259999999,,True
Heartland Of West Ashley Rehabilitation And Nursing Center,,,Rachel Campbell,rachel.campbell@hcr-manorcare.com,,843-769-2359,,,,,,,,,,,,843-763-0233,,,hcr-manorcare.com,http://nfbl.sc.gov/FacilityInformation.php?FacID=105,,,,,,,,,,,,,Nursing Facility,,,,1137 Sam Rittenberg Blvd,,,Charleston,Charleston,,SC,,29407,US,32.8231963,-79.9900286,West Ashley,True
Life Care Center Of Hilton Head,,,Lisa Mayhew,lisa_mayhew@lcca.com,,843-681-2853,,,,,,,,,,,,843-681-6006,,,lcca.com/12/,http://nfbl.sc.gov/FacilityInformation.php?FacID=106,,,,,,,,,,,,,Nursing Facility,,,,120 Lamotte Dr,,,Hilton Head Island,Beaufort,,SC,,29926,US,32.2253776,-80.7146473,,True
Preston Health Center,,,,,,,,,,,,,,,,,,843-689-7077,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=107,,,,,,,,,,,,,Nursing Facility,,,,87 Birdsong Way,,,Hilton Head Island,Beaufort,,SC,,29926,US,32.2370305,-80.7408356,,True
Covenant Dove of Greenville,,,Emma Bowers,ebowers@oriannia.com,,864-232-5398,,,,,,,,,,,,864-232-2442,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=108,,,,,,,,,,,,,Nursing Facility,,,,661 Rutherford Rd,,,Greenville,Greenville,,SC,,29609,US,34.8773904,-82.3948037,,True
John Edward Harter Nursing Center,,,Melissa All,chrystald@achospital.org,,803-632-5678,,,,,,,,,,,,803-632-3334,,,,http://nfbl.sc.gov/FacilityInformation.php?FacID=109,,,,,,,,,,,,,Nursing Facility,,,,185 Revolutionary Trl,,,Fairfax,Allendale,,SC,,29827,US,32.9754286,-81.2899249,,True
PruittHealth of Barnwell,,,Rovella Phillips,RoPhillips@pruitthealth.com,,803-259-7350,,,,,,,,,,,,803-259-5547,,,www.PruittHealth.com,http://nfbl.sc.gov/FacilityInformation.php?FacID=110,,,,,,,,,,,,,Nursing Facility,,,,31 Wren St,,,Barnwell,Barnwell,,SC,,29812,US,33.25643350000001,-81.36368039999999,,True
