name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
1 HEAVENLY DIVINE ADULT FAMILY HOMES LLC,KATHY,JONES,,,,,PO BOX 16545,,MILWAUKEE,KATHY,JONES,,,,53216,WI,,4143503558,,,,,,,,,,,,,,,,,Adult Family Home,,2485,5125,4637 N 24TH PL,,,MILWAUKEE,MILWAUKEE           ,,WI,,53209,,43.1016505,-87.9431962,Rufus King,True
1 STEP AWAY FROM HOME ASSISTED LIVING LLC,ULANDA,BOYD WEST,,,,,2222 W BOLIVAR AVE UNIT 101,,MILWAUKEE,ULANDA,BOYD WEST,,,,53221,WI,,4148814057,,,,,,,,,,,,,,,,,Adult Family Home,,9486,10850,1566 W GRANGE AVE,,,MILWAUKEE,MILWAUKEE           ,,WI,,53221,,42.9450883,-87.9337743,The Gateway To Milwaukee,True
1 STEP AWAY FROM HOME ASSISTED LIVING LLC II,ULANDA,BOYD WEST,,,,,2222 W BOLIVAR AVE UNIT 101,,MILWAUKEE,ULANDA,BOYD WEST,,,,53221,WI,,4148814057,,,,,,,,,,,,,,,,,Adult Family Home,,9486,10850,2222 W BOLIVAR AVE,UNIT 102,,MILWAUKEE,MILWAUKEE           ,,WI,,53221,,42.96696399999999,-87.94220419999999,Wilson Park,True
1 VILLARD STREET MANOR,CORNELIUS,MCCLENDON  III,,,,,1850 W FOND DU LAC AVE SUITE E,,MILWAUKEE,CORNELIUS,MCCLENDON  III,,,,53205,WI,,4148409060,,,,,,,,,,,,,,,,,Adult Family Home,,3000,6500,5277 N 29TH STREET,APARTMENT 1,,MILWUAKEE,MILWAUKEE           ,,WI,,53208,,43.1135414,-87.94911239999999,Old North Milwaukee,True
107TH ST HOUSE,CHRISTINE,VECITIS,,,,,5208 W BLUEMOUND RD           ,,MILWAUKEE           ,CHRISTINE,VECITIS,,,,532083009,WI,,4144757801,,,,,,,,,,,,,,,,,Adult Family Home,,4200,4500,2149 S 107TH ST,,,WEST ALLIS          ,MILWAUKEE           ,,WI,,53227,,43.0050975,-88.0458587,,True
117TH STREET AFH LLC,JEROLD,RIEGLER,,,,,P O  BOX 14185                ,,WEST ALLIS          ,APRIL,RIEGLER,,,,53214,WI,,4147713667,,,,,,,,,,,,,,,,,Adult Family Home,,3900,4865,1319 S 117TH ST,,,WEST ALLIS          ,MILWAUKEE           ,,WI,,53214,,43.01772,-88.05867599999999,,True
118TH STREET HOUSE,JEROLD,RIEGLER,,,,,PO BOX 14185                  ,,WEST ALLIS          ,APRIL,RIEGLER,,,,53214,WI,,4144763078,,,,,,,,,,,,,,,,,Adult Family Home,,4800,5800,1125 S 118TH ST,,,WEST ALLIS          ,MILWAUKEE           ,,WI,,53214,,43.01947759999999,-88.0598174,,True
15TH AVENUE ADULT FAMILY HOME,BRENDA,HARRIS GRAYS,,,,,5221 GALLANT FOX LN           ,,RACINE              ,BRENDA,HARRIS GRAYS,,,,53402,WI,,2624176273,,,,,,,,,,,,,,,,,Adult Family Home,,4600,6000,2903 15TH AVE,,,SOUTH MILWAUKEE     ,MILWAUKEE           ,,WI,,53172,,42.902657,-87.87163199999999,,True
17TH AVENUE ADULT FAMILY HOME,KATHY,MCCARDELL,,,,,1625 E WASHINGTON ST STE 111,,WEST BEND           ,KATHY,MCCARDELL,,,,53095,WI,,2623381072,,,,,,,,,,,,,,,,,Adult Family Home,,6720,6720,233 S 17TH AVE,,,WEST BEND           ,WASHINGTON          ,,WI,,53095,,43.42164659999999,-88.19890199999999,,True
1ST CHOICE ADULT FAMILY,RHONDA,GRIFFIN,,,,,1536 TAYLOR AVE,,RACINE,RHONDA,GRIFFIN,,,,53403,WI,,2626769756,,,,,,,,,,,,,,,,,Adult Family Home,,3000,5000,3341 HAMLIN,,,RACINE,RACINE              ,,WI,,53403,,42.690408,-87.808234,,True
