name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
A TOUCH OF HOME                                   ,ROBERTA,DIETZMAN,,,,,1211 MARK AVENUE              ,,TOMAH               ,ROBERTA,DIETZMAN,,,,54660,WI,,6083725454,,,,,,,,,,,,,,,,,Residential Care,,2670,2670,1211 MARK Ave,,,TOMAH               ,MONROE              ,WESTERN REGION           ,WI,,54660,,44.0041616,-90.5084478,,True
ACORN HILL,MARGARET,BUDIMLIJA,,,,,430 ORBITING DR,,MOSINEE,MARGARET,BUDIMLIJA,,,,54455,WI,,7156938844,,,,,,,,,,,,,,,,,Residential Care,,,,430 ORBITING DR,,,MOSINEE,MARATHON            ,WESTERN REGION           ,WI,,54455,,44.784229,-89.682075,,False
AGE WELL CENTRE FOR LIFE ENRICHMENT,LORI,ALLEN,,,,,333 W WACKER DR STE 1010,,CHICAGO,MARIA,OLIVA,,,,606061284,IL,,9204689174,,,,,,,,,,,,,,,,,Residential Care,,2176,2409,246 BERGER ST,,,GREEN BAY           ,BROWN               ,NORTHEASTERN REGION      ,WI,,54302,,44.5056184,-87.97460579999999,,False
ALEXANDRITE MANOR VNA APARTMENTS,THERESA,PICHELMEYER,,,,,1537 LYON DRIVE               ,,NEENAH              ,THERESA,PICHELMEYER,,,,54956,WI,,9207275544,,,,,,,,,,,,,,,,,Residential Care,,2200,3000,1537 LYON Dr,,,NEENAH              ,WINNEBAGO           ,NORTHEASTERN REGION      ,WI,,54956,,44.154419,-88.46057130000001,,True
ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,AMY,VANELZEN,,,,,W4647 CO RD KK                ,,KAUKAUNA            ,AMY,DOOLITTLE,,,,54130,WI,,9205911822,,,,,,,,,,,,,,,,,Residential Care,,,,279 E ST JOSEPH,,,GREEN BAY           ,BROWN               ,NORTHEASTERN REGION      ,WI,,54301,,44.4854608,-88.01851459999999,,False
AMERICAN HOUSE OF BERLIN,NATHAN,MAZUR,,,,,123 S PEARL ST,,BERLIN,NATHAN,MAZUR,,,,54923,WI,,9203613111,,,,,,,,,,,,,,,,,Residential Care,,1919.68,4255.65,123 S PEARL ST,,,BERLIN              ,GREEN LAKE          ,NORTHEASTERN REGION      ,WI,,54923,,43.9676972,-88.9482369,,False
AMERY ASSTD LIV -RIVER BEND                       ,DENISE,OLSON,,,,,400 DERONDA ST                ,,AMERY               ,CONNIE,DUCKLOW,,,,54001,WI,,7152689949,,,,,,,,,,,,,,,,,Residential Care,,1990,3025,475 GOLF VIEW Ln,,,AMERY               ,POLK                ,WESTERN REGION           ,WI,,54001,,45.3019156,-92.37111279999999,,True
APARTMENTS AT ELIZABETH RESIDENCE (THE),MARK,COURY,,,,,9279 N PORT WASHINGTO         ,,BAYSIDE            ,MARK,COURY,,,,53217,WI,,4145404141,,,,,,,,,,,,,,,,,Residential Care,,,,9279 N PORT WASHINGTON RD,,,BAYSIDE             ,MILWAUKEE           ,SOUTHEASTERN REGION      ,WI,,53217,,43.184781,-87.920024,,False
APPLEGATE TERRACE,DAVID,KEATING,,,,,3001 WESTHILL DRIVE,,WAUSAU,KRYSTENA,KUNZE,,,,54401,WI,,4149088058,,,,,,,,,,,,,,,,,Residential Care,,1537,2551,3001 WESTHILL Dr,,,WAUSAU,MARATHON            ,WESTERN REGION           ,WI,,54401,,44.9677166,-89.67443490000001,,True
APPLETON RETIREMENT COMMUNITY,AMIE,MISCHLER,,,,,5900 MONONA DR STE 200        ,,MADISON             ,JOAN,BARMISH,,,,53716,WI,,9209549990,,,,,,,,,,,,,,,,,Residential Care,,3105,4730,200 W PACKARD ST,,,APPLETON            ,OUTAGAMIE           ,NORTHEASTERN REGION      ,WI,,54911,,44.2661364,-88.40799899999999,Downtown,False
