name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
DOVE HEALTHCARE BARRON ASSISTED LIVING,,,TOMMY DAVIDSON,,,,,,,,,,,,,,,(423) 227-5957,,,,,,,,,,,,,,,,RCAC,Residential Care,"572/1,467",,,1333 MEMORIAL Dr,,,BARRON, BARRON,,WI,,54812,USA,45.397153,-91.838573,,True
ATRIUM SENIOR LIVING OF CHETEK,,,DYLAN FAULKNER,,,,,,,,,,,,,,,(715) 924-4891,,,,,,,,,,,,,,,,RCAC,Residential Care,"1,500/3,600",,,708 TAINTER ST,,,CHETEK, BARRON,,WI,,54728,USA,45.313259,-91.658488,,False
BRENTWOOD SENIOR LIVING INC,,,KEVIN RUNDHAUG,,,,,P O BOX 155,,,,,,,,,,(715) 736-7400,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,595/3,945",,,633 CAMERON RD,,,RICE LAKE, BARRON,,WI,,54868,USA,45.4923958,-91.75161,,False
WOODSTONE SENIOR LIVING RCAC,,,JACOB WORK,,,,,PO BOX 172,,,,,,,,,,(715) 736-6060,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,277/3,085",,,950 BEAR PAW Ave,,,RICE LAKE, BARRON,,WI,,54868,USA,45.5110311,-91.75944129999999,,True
BIRCH HAVEN NORTH RCAC,,,DALE KELM,,,,,,,,,,,,,,,(715) 373-0078,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,400/4,800",,,320 SUPERIOR Ave,,,WASHBURN, BAYFIELD,,WI,,54891,USA,46.681521,-90.88244999999999,,True
CHEQUAMEGON AREA ASSISTED LIVING,,,RICH CARBON,,,,,,,,,,,,,,,(715) 292-4550,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,226/2,650",,,320 SUPERIOR AVE,,,WASHBURN, BAYFIELD,,WI,,54891,USA,46.681521,-90.88244999999999,,False
RENAISSANCE DE PERE,,,MICHAEL MILLER,,,,,,,,,,,,,,,(920) 983-5100,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,725/3,950",,,250 SOUTH 9TH ST,,,DE PERE, BROWN,,WI,,54115,USA,44.4481299,-88.0865371,,False
AGE WELL CENTRE FOR LIFE ENRICHMENT,,,LORI ALLEN,,,,,,,,,,,,,,,(920) 468-9174,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,176/2,409",,,246 BERGER ST,,,GREEN BAY, BROWN,,WI,,54302,USA,44.5056184,-87.97460579999999,,False
ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,,,AMY VANELZEN,,,,,,,,,,,,,,,(920) 591-1822,,,,,,,,,,,,,,,,RCAC,Residential Care,,,,279 E ST JOSEPH,,,GREEN BAY, BROWN,,WI,,54301,USA,44.4854608,-88.01851459999999,,False
BELLEVUE,,,MARY ROGALA,,,,,,,,,,,,,,,(920) 337-0771,,,,,,,,,,,,,,,,RCAC,Residential Care,"3,295/4,370",,,1660 HOFFMAN RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.4531565,-88.0006069,,False
BROOKVIEW MEADOWS,,,KIRSTEN HUTCHISON,,,,,,,,,,,,,,,(972) 308-8397,,,,,,,,,,,,,,,,RCAC,Residential Care,"2,995/5,275",,,1740 CONDOR LN,,,GREEN BAY, BROWN,,WI,,54313,USA,44.58817370000001,-88.08057079999999,,False
MORAINE RIDGE,,,LORRIE RYCZEK,,,,,,,,,,,,,,,(920) 468-3111,,,,,,,,,,,,,,,,RCAC,Residential Care,,,,2929 SAINT ANTHONY DR,,,GREEN BAY, BROWN,,WI,,54311,USA,44.5208542,-87.9383242,,False
OAK PARK PLACE OF GREEN BAY,,,JOHN CORPUS,,,,,,,,,,,,,,,(920) 461-2533,,,,,,,,,,,,,,,,RCAC,Residential Care,,,,421 ERIE RD,,,GREEN BAY, BROWN,,WI,,54311,USA,44.49253629999999,-87.9069275,,False
REBEKAH HAVEN,,,SHERRI STOCK,,,,,,,,,,,,,,,(920) 435-4810,,,,,,,,,,,,,,,,RCAC,Residential Care,"3,268/4,918",,,826 GRIGNON ST,,,GREEN BAY, BROWN,,WI,,54301,USA,44.4965471,-88.01694859999999,,False
WAYSIDE PARKVIEW ESTATES,,,ERIC ROFFERS,,,,,,,,,,,,,,,(920) 864-2702,,,,,,,,,,,,,,,,RCAC,Residential Care,"1,345/2,745",,,3838 CHURCH VIEW CT,,,GREENLEAF, BROWN,,WI,,54126,USA,44.24883500000001,-87.947245,,False
EMERALD BAY ASSISTED LIVING,,,KATHERINE R TEGEN,,,,,,,,,,,,,,,(920) 378-5239,,,,,,,,,,,,,,,,RCAC,Residential Care,"3,000/4,500",,,650 CENTENNIAL CENTRE BLVD,,,HOBART, BROWN,,WI,,54155,USA,44.5676524,-88.16188799999999,,False
NEW PERSPECTIVE-HOWARD,,,STACIE HACKL,,,,,,,,,,,,,,,(920) 489-8600,,,,,,,,,,,,,,,,RCAC,Residential Care,"1,734/5,813",,,2790 ELM TREE HILL,,,HOWARD, BROWN,,WI,,54313,USA,44.63371069999999,-88.1241565,,False
